time,temperature
0,309.15
14,309.15
28,309.15
42,309.15
56,309.15
70,309.15
84,309.15
97,309.15
111,309.15
125,308.15
139,308.15
153,308.15
167,308.15
181,308.15
195,308.15
208,308.15
222,308.15
236,308.15
250,308.15
264,308.15
278,308.15
292,308.15
306,308.15
320,308.15
333,308.15
347,308.15
361,308.15
375,308.15
389,308.15
403,308.15
417,308.15
431,308.15
444,308.15
458,308.15
472,308.15
486,308.15
500,308.15
514,308.15
528,308.15
542,307.15
556,307.15
569,307.15
583,307.15
597,307.15
611,307.15
625,307.15
639,307.15
653,307.15
667,307.15
680,307.15
694,307.15
708,307.15
722,307.15
736,307.15
750,307.15
764,307.15
778,307.15
792,307.15
805,307.15
819,307.15
833,307.15
847,307.15
861,307.15
875,307.15
889,307.15
903,307.15
917,307.15
930,307.15
944,307.15
958,307.15
972,307.15
986,307.15
1000,307.15
1014,307.15
1028,307.15
1041,307.15
1055,307.15
1069,307.15
1083,307.15
1097,307.15
1111,307.15
1125,307.15
1139,307.15
1153,307.15
1166,307.15
1180,307.15
1194,307.15
1208,307.15
1222,307.15
1236,307.15
1250,307.15
1264,307.15
1277,307.15
1291,307.15
1305,307.15
1319,307.15
1333,307.15
1347,307.15
1361,307.15
1375,307.15
1389,307.15
1402,307.15
1416,307.15
1430,307.15
1444,307.15
1458,307.15
1472,307.15
1486,307.15
1500,307.15
1513,307.15
1527,307.15
1541,307.15
1555,307.15
1569,307.15
1583,307.15
1597,307.15
1611,307.15
1625,307.15
1638,307.15
1652,307.15
1666,307.15
1680,307.15
1694,307.15
1708,307.15
1722,307.15
1736,307.15
1749,307.15
1763,307.15
1777,307.15
1791,307.15
1805,306.15
1819,307.15
1833,307.15
1847,307.15
1861,307.15
1874,307.15
1888,306.15
1902,306.15
1916,306.15
1930,307.15
1944,307.15
1958,306.15
1972,306.15
1985,306.15
1999,306.15
2013,306.15
2027,306.15
2041,306.15
2055,306.15
2069,306.15
2083,306.15
2097,306.15
2110,306.15
2124,306.15
2138,306.15
2152,306.15
2166,306.15
2180,306.15
2194,306.15
2208,306.15
2222,306.15
2235,306.15
2249,306.15
2263,306.15
2277,306.15
2291,306.15
2305,306.15
2319,306.15
2333,306.15
2346,306.15
2360,306.15
2374,306.15
2388,306.15
2402,306.15
2416,306.15
2430,306.15
2444,306.15
2458,306.15
2471,306.15
2485,306.15
2499,306.15
2513,306.15
2527,306.15
2541,306.15
2555,306.15
2569,306.15
2582,306.15
2596,306.15
2610,306.15
2624,306.15
2638,306.15
2652,306.15
2666,306.15
2680,306.15
2694,306.15
2707,306.15
2721,306.15
2735,306.15
2749,306.15
2763,306.15
2777,306.15
2791,306.15
2805,306.15
2818,306.15
2832,306.15
2846,306.15
2860,306.15
2874,306.15
2888,306.15
2902,306.15
2916,306.15
2930,306.15
2943,306.15
2957,306.15
2971,306.15
2985,306.15
2999,306.15
3013,306.15
3027,306.15
3041,306.15
3054,306.15
3068,306.15
3082,306.15
3096,306.15
3110,306.15
3124,306.15
3138,306.15
3152,306.15
3166,306.15
3179,306.15
3193,306.15
3207,306.15
3221,306.15
3235,306.15
3249,306.15
3263,306.15
3277,306.15
3291,306.15
3304,306.15
3318,306.15
3332,306.15
3346,306.15
3360,306.15
3374,306.15
3388,306.15
3402,306.15
3415,306.15
3429,306.15
3443,306.15
3457,306.15
3471,306.15
3485,306.15
3499,306.15
3513,306.15
3527,306.15
3540,305.15
3554,306.15
3568,305.15
3582,306.15
3596,306.15
3610,306.15
3624,306.15
3638,306.15
3651,305.15
3665,306.15
3679,305.15
3693,305.15
3707,305.15
3721,305.15
3735,305.15
3749,305.15
3763,305.15
3776,305.15
3790,305.15
3804,305.15
3818,305.15
3832,305.15
3846,305.15
3860,305.15
3874,305.15
3887,305.15
3901,305.15
3915,305.15
3929,305.15
3943,305.15
3957,305.15
3971,305.15
3985,305.15
3999,305.15
4012,305.15
4026,305.15
4040,305.15
4054,305.15
4068,305.15
4082,305.15
4096,305.15
4110,305.15
4123,305.15
4137,305.15
4151,305.15
4165,305.15
4179,305.15
4193,305.15
4207,305.15
4221,305.15
4235,305.15
4248,305.15
4262,305.15
4276,305.15
4290,305.15
4304,305.15
4318,305.15
4332,305.15
4346,305.15
4360,305.15
4373,305.15
4387,305.15
4401,305.15
4415,305.15
4429,305.15
4443,305.15
4457,305.15
4471,305.15
4484,305.15
4498,305.15
4512,305.15
4526,305.15
4540,305.15
4554,305.15
4568,305.15
4582,305.15
4596,305.15
4609,305.15
4623,305.15
4637,305.15
4651,305.15
4665,305.15
4679,305.15
4693,305.15
4707,305.15
4720,305.15
4734,305.15
4748,305.15
4762,305.15
4776,305.15
4790,305.15
4804,305.15
4818,305.15
4832,305.15
4845,305.15
4859,305.15
4873,305.15
4887,305.15
4901,305.15
4915,305.15
4929,305.15
4943,305.15
4957,305.15
4970,305.15
4984,305.15
4998,305.15
5012,305.15
5026,305.15
5040,305.15
5054,305.15
5068,305.15
5081,305.15
5095,305.15
5109,305.15
5123,305.15
5137,305.15
5151,305.15
5165,305.15
5179,305.15
5193,305.15
5206,305.15
5220,305.15
5234,305.15
5248,305.15
5262,305.15
5276,305.15
5290,305.15
5304,305.15
5317,305.15
5331,305.15
5345,305.15
5359,305.15
5373,305.15
5387,305.15
5401,305.15
5415,305.15
5429,305.15
5442,305.15
5456,305.15
5470,305.15
5484,305.15
5498,305.15
5512,305.15
5526,305.15
5540,305.15
5553,305.15
5567,305.15
5581,305.15
5595,305.15
5609,305.15
5623,305.15
5637,305.15
5651,305.15
5665,305.15
5678,305.15
5692,305.15
5706,305.15
5720,305.15
5734,305.15
5748,305.15
5762,305.15
5776,305.15
5789,305.15
5803,305.15
5817,305.15
5831,305.15
5845,305.15
5859,305.15
5873,305.15
5887,305.15
5901,305.15
5914,305.15
5928,305.15
5942,305.15
5956,305.15
5970,305.15
5984,305.15
5998,305.15
6012,305.15
6026,305.15
6039,305.15
6053,305.15
6067,305.15
6081,305.15
6095,305.15
6109,305.15
6123,305.15
6137,305.15
6150,305.15
6164,305.15
6178,305.15
6192,305.15
6206,305.15
6220,305.15
6234,305.15
6248,305.15
6262,305.15
6275,305.15
6289,305.15
6303,305.15
6317,305.15
6331,305.15
6345,305.15
6359,305.15
6373,305.15
6386,305.15
6400,305.15
6414,305.15
6428,305.15
6442,305.15
6456,305.15
6470,305.15
6484,305.15
6498,305.15
6511,305.15
6525,305.15
6539,305.15
6553,305.15
