x, current_density, J_max, J_min
0.000000000000000000e+00,1.363120810047059479e+11,1.589721083699515686e+11,2.923518477048280640e+11
5.000000000000000000e-01,1.349959329747032318e+11,1.573921175484012146e+11,2.870306563037633667e+11
1.000000000000000000e+00,1.337138882715496674e+11,1.558278299280085144e+11,2.818063176441780396e+11
1.500000000000000000e+00,1.324652391184771881e+11,1.542790894379132385e+11,2.766770688777125244e+11
2.000000000000000000e+00,1.312492870635004883e+11,1.527457415584111023e+11,2.716411792421856384e+11
2.500000000000000000e+00,1.300653429653817444e+11,1.512276333055372009e+11,2.666969494775836792e+11
3.000000000000000000e+00,1.289127269492344666e+11,1.497246132158024292e+11,2.618427112526789551e+11
3.500000000000000000e+00,1.277907683357860260e+11,1.482365313310820007e+11,2.570768266020849915e+11
4.000000000000000000e+00,1.266988055458368378e+11,1.467632391836537170e+11,2.523976873735579834e+11
4.500000000000000000e+00,1.256361859813989105e+11,1.453045897813853760e+11,2.478037146853579407e+11
5.000000000000000000e+00,1.246022658849436035e+11,1.438604375930690613e+11,2.432933583934868469e+11
5.500000000000000000e+00,1.235964101781345367e+11,1.424306385339013062e+11,2.388650965686234436e+11
6.000000000000000000e+00,1.226179922813721313e+11,1.410150499511078186e+11,2.345174349825787964e+11
6.500000000000000000e+00,1.216663939154279175e+11,1.396135306097104187e+11,2.302489066040990601e+11
7.000000000000000000e+00,1.207410048864018860e+11,1.382259406784361877e+11,2.260580711038449097e+11
7.500000000000000000e+00,1.198412228551909027e+11,1.368521417157662659e+11,2.219435143683815918e+11
8.000000000000000000e+00,1.189664530926203918e+11,1.354919966561232910e+11,2.179038480230143738e+11
8.500000000000000000e+00,1.181161082213516846e+11,1.341453697961963043e+11,2.139377089633096313e+11
9.000000000000000000e+00,1.172896079456470642e+11,1.328121267814013367e+11,2.100437588951423340e+11
9.500000000000000000e+00,1.164863787700424805e+11,1.314921345924768524e+11,2.062206838831157532e+11
1.000000000000000000e+01,1.157058537079572754e+11,1.301852615322121277e+11,2.024671939072000122e+11
1.050000000000000000e+01,1.149474719812425690e+11,1.288913772123077393e+11,1.987820224274409790e+11
1.100000000000000000e+01,1.142106787116578522e+11,1.276103525403664703e+11,1.951639259565915527e+11
1.150000000000000000e+01,1.134949246052497711e+11,1.263420597070137634e+11,1.916116836405218506e+11
1.200000000000000000e+01,1.127996656305965729e+11,1.250863721731458435e+11,1.881240968462666321e+11
1.250000000000000000e+01,1.121243626918812561e+11,1.238431646573049316e+11,1.846999887575703125e+11
1.300000000000000000e+01,1.114684812977501526e+11,1.226123131231796417e+11,1.813382039777941589e+11
1.350000000000000000e+01,1.108314912269226990e+11,1.213936947672297363e+11,1.780376081400507202e+11
1.400000000000000000e+01,1.102128661915213013e+11,1.201871880064339447e+11,1.747970875244346008e+11
1.450000000000000000e+01,1.096120834991075134e+11,1.189926724661594543e+11,1.716155486822197876e+11
1.500000000000000000e+01,1.090286237144215698e+11,1.178100289681519012e+11,1.684919180668975525e+11
1.550000000000000000e+01,1.084619703218474121e+11,1.166391395186448822e+11,1.654251416719294739e+11
1.600000000000000000e+01,1.079116093896469879e+11,1.154798872965876770e+11,1.624141846750941467e+11
1.650000000000000000e+01,1.073770292370367889e+11,1.143321566419896545e+11,1.594580310893073120e+11
1.700000000000000000e+01,1.068577201052110138e+11,1.131958330443808594e+11,1.565556834197970276e+11
1.750000000000000000e+01,1.063531738334508820e+11,1.120708031313871918e+11,1.537061623275194397e+11
1.800000000000000000e+01,1.058628835414992065e+11,1.109569546574190521e+11,1.509085062987002258e+11
1.850000000000000000e+01,1.053863433194171600e+11,1.098541764924725189e+11,1.481617713203910217e+11
1.900000000000000000e+01,1.049230479261884766e+11,1.087623586110416412e+11,1.454650305619314880e+11
1.950000000000000000e+01,1.044724924983773193e+11,1.076813920811412964e+11,1.428173740622083130e+11
2.000000000000000000e+01,1.040341722701965637e+11,1.066111690534386139e+11,1.402179084226076660e+11
2.050000000000000000e+01,1.036075823063898621e+11,1.055515827504930267e+11,1.376657565055553589e+11
2.100000000000000000e+01,1.031922172493801422e+11,1.045025274561027069e+11,1.351600571385445557e+11
2.150000000000000000e+01,1.027875710821858673e+11,1.034638985047572784e+11,1.326999648235502472e+11
2.200000000000000000e+01,1.023931369086536560e+11,1.024355922711951904e+11,1.302846494517329407e+11
2.250000000000000000e+01,1.020084067526031036e+11,1.014175061600648041e+11,1.279132960233350677e+11
2.300000000000000000e+01,1.016328713775211487e+11,1.004095385956884918e+11,1.255851043726757355e+11
2.350000000000000000e+01,1.012660201284867096e+11,9.941158901192817688e+10,1.232992888981506500e+11
2.400000000000000000e+01,1.009073407980380249e+11,9.842355784215182495e+10,1.210550782971468201e+11
2.450000000000000000e+01,1.005563195177290039e+11,9.744534650929940796e+10,1.188517153057818604e+11
2.500000000000000000e+01,1.002124406771429443e+11,9.647685741604797363e+10,1.166884564433803711e+11
2.550000000000000000e+01,9.987518687214686584e+10,9.551799393507405090e+10,1.145645717616015167e+11
2.600000000000000000e+01,9.954403888417932129e+10,9.456866039941313171e+10,1.124793445981324005e+11
2.650000000000000000e+01,9.921847569235734558e+10,9.362876209291481018e+10,1.104320713348647919e+11
2.700000000000000000e+01,9.889797452017637634e+10,9.269820524079289246e+10,1.084220611604733582e+11
2.750000000000000000e+01,9.858201091854623413e+10,9.177689700026933289e+10,1.064486358373150635e+11
2.800000000000000000e+01,9.827005888686436462e+10,9.086474545131117249e+10,1.045111294725717010e+11
2.850000000000000000e+01,9.796159103376911926e+10,8.996165958745962524e+10,1.026088882935574951e+11
2.900000000000000000e+01,9.765607877913961792e+10,8.906754930675022888e+10,1.007412704271168060e+11
2.950000000000000000e+01,9.735299259881408691e+10,8.818232540272326660e+10,9.890764568303672791e+10
3.000000000000000000e+01,9.705180231338519287e+10,8.730589955552351379e+10,9.710739534140209961e+10
3.050000000000000000e+01,9.675197742229455566e+10,8.643818432308845520e+10,9.533991194382092285e+10
3.100000000000000000e+01,9.645298748429252625e+10,8.557909313242414856e+10,9.360459908844970703e+10
3.150000000000000000e+01,9.615430254514814758e+10,8.472854027096769714e+10,9.190087122874942017e+10
3.200000000000000000e+01,9.585539361329057312e+10,8.388644087803549194e+10,9.022815347590487671e+10
3.250000000000000000e+01,9.555573318383561707e+10,8.305271093635678101e+10,8.858588140483972168e+10
3.300000000000000000e+01,9.525479581119691467e+10,8.222726726369100952e+10,8.697350086376272583e+10
3.350000000000000000e+01,9.495205873020637512e+10,8.141002750452859497e+10,8.539046778718023682e+10
3.400000000000000000e+01,9.464700252536437988e+10,8.060091012187440491e+10,8.383624801231225586e+10
3.450000000000000000e+01,9.433911184751811218e+10,7.979983438911248779e+10,8.231031709884988403e+10
3.500000000000000000e+01,9.402787617691648865e+10,7.900672038195205688e+10,8.081216015199342346e+10
