x, o_total, cc
0.000000000000000000e+00,3.313662989542943138e-01,3.317912551639467522e-01
5.000000000000000000e-01,3.304490363851765866e-01,3.309192167151259745e-01
1.000000000000000000e+00,3.294420677410146436e-01,3.299574171658510302e-01
1.500000000000000000e+00,3.283455957018558413e-01,3.289064272957357149e-01
2.000000000000000000e+00,3.271599236735382998e-01,3.277639155691305928e-01
2.500000000000000000e+00,3.258854552573444141e-01,3.265338688531100320e-01
3.000000000000000000e+00,3.245226935448762284e-01,3.252152098098755606e-01
3.500000000000000000e+00,3.230722402398616966e-01,3.238085964931434746e-01
4.000000000000000000e+00,3.215347946090203468e-01,3.223145701315832667e-01
4.500000000000000000e+00,3.199111522645258776e-01,3.207340231788213814e-01
5.000000000000000000e+00,3.182022037810042225e-01,3.190676998811652343e-01
5.500000000000000000e+00,3.164089331504053582e-01,3.173165399523639185e-01
6.000000000000000000e+00,3.145324160784649381e-01,3.154815593297112253e-01
6.500000000000000000e+00,3.125738181268468141e-01,3.135639791433511014e-01
7.000000000000000000e+00,3.105343927054144415e-01,3.115649191968028475e-01
7.500000000000000000e+00,3.084154789194308854e-01,3.094859644693299106e-01
8.000000000000000000e+00,3.062184992768103298e-01,3.073276596756107093e-01
8.500000000000000000e+00,3.039449572608647898e-01,3.050922762008917988e-01
9.000000000000000000e+00,3.015964347742877694e-01,3.027811989188017305e-01
9.500000000000000000e+00,2.991745894603982103e-01,3.003959407366658674e-01
1.000000000000000000e+01,2.966811519079274317e-01,2.979382097778423000e-01
1.050000000000000000e+01,2.941179227458851075e-01,2.954100771558105798e-01
1.100000000000000000e+01,2.914867696352559379e-01,2.928124943518634615e-01
1.150000000000000000e+01,2.887896241644881123e-01,2.901482334143487551e-01
1.200000000000000000e+01,2.860284786559212922e-01,2.874189079284014126e-01
1.250000000000000000e+01,2.832053828904561588e-01,2.846267059263096755e-01
1.300000000000000000e+01,2.803224407579216204e-01,2.817735919092697605e-01
1.350000000000000000e+01,2.773818068407032378e-01,2.788616753815228444e-01
1.400000000000000000e+01,2.743856829383073404e-01,2.758931619499939147e-01
1.450000000000000000e+01,2.713363145405980892e-01,2.728702750269477173e-01
1.500000000000000000e+01,2.682359872575115212e-01,2.697952947704922999e-01
1.550000000000000000e+01,2.650870232130745907e-01,2.666704897899299098e-01
1.600000000000000000e+01,2.618917774115703256e-01,2.634982201969962023e-01
1.650000000000000000e+01,2.586526340836785010e-01,2.602808564855055851e-01
1.700000000000000000e+01,2.553720030203898705e-01,2.570207060864813098e-01
1.750000000000000000e+01,2.520523159024344872e-01,2.537204069021025687e-01
1.800000000000000000e+01,2.486960226328940038e-01,2.503822854833187561e-01
1.850000000000000000e+01,2.453055876805695645e-01,2.470087328853547703e-01
1.900000000000000000e+01,2.418834864415643771e-01,2.436022705149502587e-01
1.950000000000000000e+01,2.384322016264042721e-01,2.401653772260710640e-01
2.000000000000000000e+01,2.349542196798690419e-01,2.367005375317510485e-01
2.050000000000000000e+01,2.314520272405349022e-01,2.332102380170282818e-01
2.100000000000000000e+01,2.279281076468439304e-01,2.296969637879788251e-01
2.150000000000000000e+01,2.243849374963086396e-01,2.261631949733835523e-01
2.200000000000000000e+01,2.208249832642465438e-01,2.226114144078177592e-01
2.250000000000000000e+01,2.172506979881988209e-01,2.190440543783473970e-01
2.300000000000000000e+01,2.136645180239486463e-01,2.154635773574142543e-01
2.350000000000000000e+01,2.100688598787855965e-01,2.118724101128681425e-01
2.400000000000000000e+01,2.064661171274005391e-01,2.082729578334586440e-01
2.450000000000000000e+01,2.028586574155050726e-01,2.046676011592821476e-01
2.500000000000000000e+01,1.992488195559842801e-01,2.010586932932603155e-01
2.550000000000000000e+01,1.956389107220877221e-01,1.974485571941454187e-01
2.600000000000000000e+01,1.920312037418570039e-01,1.938394828543387738e-01
2.650000000000000000e+01,1.884279344976752535e-01,1.902337246675774862e-01
2.700000000000000000e+01,1.848312994345024940e-01,1.866334988924184257e-01
2.750000000000000000e+01,1.812434531800387327e-01,1.830409812176242157e-01
2.800000000000000000e+01,1.776665062797306016e-01,1.794583044352313084e-01
2.850000000000000000e+01,1.741025230492043441e-01,1.758875562264408110e-01
2.900000000000000000e+01,1.705535195463850628e-01,1.723307770646716475e-01
2.950000000000000000e+01,1.670214616652238027e-01,1.687899582392676234e-01
3.000000000000000000e+01,1.635082633526327156e-01,1.652670400025290365e-01
3.050000000000000000e+01,1.600157849498960727e-01,1.617639098419954846e-01
3.100000000000000000e+01,1.565458316595036703e-01,1.582824008792582671e-01
3.150000000000000000e+01,1.531001521380322972e-01,1.548242903960294070e-01
3.200000000000000000e+01,1.496804372153851259e-01,1.513912984877359147e-01
3.250000000000000000e+01,1.462883187403897223e-01,1.479850868445238554e-01
3.300000000000000000e+01,1.429253685524534689e-01,1.446072576592324632e-01
3.350000000000000000e+01,1.395930975786751904e-01,1.412593526616175432e-01
3.400000000000000000e+01,1.362929550555294633e-01,1.379428522778525235e-01
3.450000000000000000e+01,1.330263278739569899e-01,1.346591749141014815e-01
3.500000000000000000e+01,1.297945400464265153e-01,1.314096763627362885e-01
3.550000000000000000e+01,1.265988522942739225e-01,1.281956493295528798e-01
3.600000000000000000e+01,1.234404617533750859e-01,1.250183230801264200e-01
3.650000000000000000e+01,1.203205017959713408e-01,1.218788632032331148e-01
3.700000000000000000e+01,1.172400419662405352e-01,1.187783714890558312e-01
3.750000000000000000e+01,1.142000880269910118e-01,1.157178859196841547e-01
3.800000000000000000e+01,1.112015821146572769e-01,1.126983807692187034e-01
3.850000000000000000e+01,1.082454029995822964e-01,1.097207668105958933e-01
3.900000000000000000e+01,1.053323664484002303e-01,1.067858916260648328e-01
3.950000000000000000e+01,1.024632256851659706e-01,1.038945400180751183e-01
4.000000000000000000e+01,9.963867194773222413e-02,1.010474345171718941e-01
4.050000000000000000e+01,9.685933513573527498e-02,9.824523598334773677e-02
4.100000000000000000e+01,9.412578454643036330e-02,9.548854429716450987e-02
4.150000000000000000e+01,9.143852969450726176e-02,9.277789913683996692e-02
4.200000000000000000e+01,8.879802121192145736e-02,9.011378083738635913e-02
4.250000000000000000e+01,8.620465182369427271e-02,8.749661132779719408e-02
4.300000000000000000e+01,8.365875739556533075e-02,8.492675514220127120e-02
4.350000000000000000e+01,8.116061804932753199e-02,8.240452050083840740e-02
4.400000000000000000e+01,7.871045934162905489e-02,7.993016045666297142e-02
4.450000000000000000e+01,7.630845350199873256e-02,7.750387410334300120e-02
4.500000000000000000e+01,7.395472072583296475e-02,7.512580784040065462e-02
4.550000000000000000e+01,7.164933051807681474e-02,7.279605669122667100e-02
4.600000000000000000e+01,6.939230308333825537e-02,7.051466566970394922e-02
4.650000000000000000e+01,6.718361075819290207e-02,6.828163119118668689e-02
4.700000000000000000e+01,6.502317948146364712e-02,6.609690252360506113e-02
4.750000000000000000e+01,6.291089029830088108e-02,6.396038327450058458e-02
4.800000000000000000e+01,6.084658089393756020e-02,6.187193290984074889e-02
4.850000000000000000e+01,5.883004715305200499e-02,5.983136830051674626e-02
4.900000000000000000e+01,5.686104474074031578e-02,5.783846529249139778e-02
4.950000000000000000e+01,5.493929070117754138e-02,5.589296029663733123e-02
5.000000000000000000e+01,5.306446507013101721e-02,5.399455189438596286e-02
5.050000000000000000e+01,5.123621249758272822e-02,5.214290245539738439e-02
5.100000000000000000e+01,4.945414387681755508e-02,5.033763976355675601e-02
5.150000000000000000e+01,4.771783797644012226e-02,4.857835864770632811e-02
5.200000000000000000e+01,4.602684307189613966e-02,4.686462261363135567e-02
5.250000000000000000e+01,4.438067857319168141e-02,4.519596547393304325e-02
5.300000000000000000e+01,4.277883664562699695e-02,4.357189297254241561e-02
5.350000000000000000e+01,4.122078382048857681e-02,4.199188440075353468e-02
5.400000000000000000e+01,3.970596259277422296e-02,4.045539420178352608e-02
5.450000000000000000e+01,3.823379300316062657e-02,3.896185356100006353e-02
5.500000000000000000e+01,3.680367420155961078e-02,3.751067197909181694e-02
5.550000000000000000e+01,3.541498598974941736e-02,3.610123882559663350e-02
5.600000000000000000e+01,3.406709034070772024e-02,3.473292487034138759e-02
5.650000000000000000e+01,3.275933289241596269e-02,3.340508379049027254e-02
5.700000000000000000e+01,3.149104441404811106e-02,3.211705365104020743e-02
5.750000000000000000e+01,3.026154224259986966e-02,3.086815835674611500e-02
5.800000000000000000e+01,2.907013168815806431e-02,2.965770907360168115e-02
5.850000000000000000e+01,2.791610740615276670e-02,2.848500561814486590e-02
5.900000000000000000e+01,2.679875473507667069e-02,2.734933781299925606e-02
5.950000000000000000e+01,2.571735099829606727e-02,2.624998680720395591e-02
6.000000000000000000e+01,2.467116676871751110e-02,2.518622636002408252e-02
6.050000000000000000e+01,2.365946709520983654e-02,2.415732408707145507e-02
6.100000000000000000e+01,2.268151268981593444e-02,2.316254266770112133e-02
6.150000000000000000e+01,2.173656107492007855e-02,2.220114101278129748e-02
6.200000000000000000e+01,2.082386768966463728e-02,2.127237539206503630e-02
6.250000000000000000e+01,1.994268695503531238e-02,2.037550052051823046e-02
6.300000000000000000e+01,1.909227329715565760e-02,1.950977060308204530e-02
6.350000000000000000e+01,1.827188212844906706e-02,1.867444033746771398e-02
6.400000000000000000e+01,1.748077078644035692e-02,1.786876587469714631e-02
6.450000000000000000e+01,1.671819943007878118e-02,1.709200573721484512e-02
6.500000000000000000e+01,1.598343189356922836e-02,1.634342169450399285e-02
6.550000000000000000e+01,1.527573649779978039e-02,1.562227959624279058e-02
6.600000000000000000e+01,1.459438681954938234e-02,1.492785016313571272e-02
6.650000000000000000e+01,1.393866241875175126e-02,1.425940973564842652e-02
6.700000000000000000e+01,1.330784952417778458e-02,1.361624098096458554e-02
6.750000000000000000e+01,1.270124167798142474e-02,1.299763355856687827e-02
6.800000000000000000e+01,1.211814033963086630e-02,1.240288474492504296e-02
6.850000000000000000e+01,1.155785544981943400e-02,1.183130001784803847e-02
6.900000000000000000e+01,1.101970595501816814e-02,1.128219360112782226e-02
6.950000000000000000e+01,1.050302029339469055e-02,1.075488897016743314e-02
7.000000000000000000e+01,1.000713684288099398e-02,1.024871931934640684e-02
7.050000000000000000e+01,9.531404332225826975e-03,9.763027991932283350e-03
7.100000000000000000e+01,9.075182215915829700e-03,9.297168873397656033e-03
7.150000000000000000e+01,8.637841013893468242e-03,8.850506749048716454e-03
7.200000000000000000e+01,8.218762617038927881e-03,8.422417626912592770e-03
7.250000000000000000e+01,7.817340559418035212e-03,8.012289026868027464e-03
7.300000000000000000e+01,7.432980258328781599e-03,7.619520237036729073e-03
7.350000000000000000e+01,7.065099223205075114e-03,7.243522538480925282e-03
