x, ell
0.000000000000000000e+00,1.510789282587536597e+01
5.000000000000000000e+00,1.562483031968900882e+01
1.000000000000000000e+01,1.616664326671562080e+01
1.500000000000000000e+01,1.673474975485272509e+01
2.000000000000000000e+01,1.733066004079183386e+01
2.500000000000000000e+01,1.795598320209835919e+01
3.000000000000000000e+01,1.861243431319840269e+01
3.500000000000000000e+01,1.930184218975921695e+01
4.000000000000000000e+01,2.002615774998572817e+01
4.500000000000000000e+01,2.078746304578093884e+01
5.000000000000000000e+01,2.158798102157141585e+01
5.500000000000000000e+01,2.243008606392313453e+01
6.000000000000000000e+01,2.331631541091869053e+01
6.500000000000000000e+01,2.424938149668469123e+01
7.000000000000000000e+01,2.523218531351002980e+01
7.500000000000000000e+01,2.626783088174620318e+01
8.000000000000000000e+01,2.735964092620221066e+01
8.500000000000000000e+01,2.851117386712209623e+01
9.000000000000000000e+01,2.972624224414960281e+01
9.500000000000000000e+01,3.100893270304501215e+01
1.000000000000000000e+02,3.236362768743088481e+01
1.050000000000000000e+02,3.379502899163383489e+01
1.100000000000000000e+02,3.530818334589115182e+01
1.150000000000000000e+02,3.690851022196054743e+01
1.200000000000000000e+02,3.860183206567475622e+01
1.250000000000000000e+02,4.039440718341214165e+01
1.300000000000000000e+02,4.229296553201747599e+01
1.350000000000000000e+02,4.430474768664062424e+01
1.400000000000000000e+02,4.643754728852474756e+01
1.450000000000000000e+02,4.869975730526319779e+01
1.500000000000000000e+02,5.110042046977889640e+01
1.550000000000000000e+02,5.364928430162801476e+01
1.600000000000000000e+02,5.635686115559545328e+01
1.650000000000000000e+02,5.923449378838541435e+01
1.700000000000000000e+02,6.229442698503041242e+01
1.750000000000000000e+02,6.554988584300230059e+01
1.800000000000000000e+02,6.901516137455897137e+01
1.850000000000000000e+02,7.270570415729916647e+01
1.900000000000000000e+02,7.663822684002944641e+01
1.950000000000000000e+02,8.083081639676487384e+01
2.000000000000000000e+02,8.530305711698441939e+01
2.050000000000000000e+02,9.007616542627542344e+01
2.100000000000000000e+02,9.517313774948188154e+01
2.150000000000000000e+02,1.006189127598414075e+02
2.200000000000000000e+02,1.064405495039413267e+02
2.250000000000000000e+02,1.126674230554401959e+02
2.300000000000000000e+02,1.193314395323912578e+02
2.350000000000000000e+02,1.264672725159376085e+02
2.400000000000000000e+02,1.341126231346713666e+02
2.450000000000000000e+02,1.423085063319287542e+02
2.500000000000000000e+02,1.510995661159637962e+02
2.550000000000000000e+02,1.605344229089516830e+02
2.600000000000000000e+02,1.706660564642277222e+02
2.650000000000000000e+02,1.815522282167102333e+02
2.700000000000000000e+02,1.932559473743277181e+02
2.750000000000000000e+02,2.058459855543822243e+02
2.800000000000000000e+02,2.193974453248320344e+02
2.850000000000000000e+02,2.339923886340218928e+02
2.900000000000000000e+02,2.497205318119940500e+02
2.950000000000000000e+02,2.666800146118558814e+02
3.000000000000000000e+02,2.849782516417487841e+02
3.050000000000000000e+02,3.047328755291696325e+02
3.100000000000000000e+02,3.260727822738541022e+02
3.150000000000000000e+02,3.491392904991211026e+02
3.200000000000000000e+02,3.740874277226492950e+02
3.250000000000000000e+02,4.010873583567152991e+02
3.300000000000000000e+02,4.303259699383804673e+02
3.350000000000000000e+02,4.620086361085835165e+02
3.400000000000000000e+02,4.963611771358394549e+02
3.450000000000000000e+02,5.336320413497239770e+02
3.500000000000000000e+02,5.740947337507169550e+02
3.550000000000000000e+02,6.180505213409926455e+02
3.600000000000000000e+02,6.658314484262755286e+02
3.650000000000000000e+02,7.178036993300000859e+02
3.700000000000000000e+02,7.743713507039460637e+02
3.750000000000000000e+02,8.359805609899507317e+02
3.800000000000000000e+02,9.031242506715383342e+02
3.850000000000000000e+02,9.763473338511835209e+02
3.900000000000000000e+02,1.056252569511214688e+03
3.950000000000000000e+02,1.143507109693401389e+03
4.000000000000000000e+02,1.238849831911704996e+03
4.050000000000000000e+02,1.343099554564109894e+03
4.100000000000000000e+02,1.457164247126798500e+03
4.150000000000000000e+02,1.582051361719829629e+03
4.200000000000000000e+02,1.718879429483296008e+03
4.250000000000000000e+02,1.868891084389715843e+03
4.300000000000000000e+02,2.033467698978901581e+03
4.350000000000000000e+02,2.214145841422632657e+03
4.400000000000000000e+02,2.412635791753019021e+03
4.450000000000000000e+02,2.630842387532444263e+03
4.500000000000000000e+02,2.870888506293556929e+03
