x, lambda_eff
0.000000000000000000e+00,4.668036544030154289e+01
5.000000000000000000e+00,4.589431454193091042e+01
1.000000000000000000e+01,4.511235991794705313e+01
1.500000000000000000e+01,4.433498878847679947e+01
2.000000000000000000e+01,4.356282096845862384e+01
2.500000000000000000e+01,4.279660998770285119e+01
3.000000000000000000e+01,4.203724102462184931e+01
3.500000000000000000e+01,4.128572558252476199e+01
4.000000000000000000e+01,4.054319290668076547e+01
4.500000000000000000e+01,3.981087821084172163e+01
5.000000000000000000e+01,3.909010785324513648e+01
5.500000000000000000e+01,3.838228167409882730e+01
6.000000000000000000e+01,3.768885277897275898e+01
6.500000000000000000e+01,3.701130512498060909e+01
7.000000000000000000e+01,3.635112933830037463e+01
7.500000000000000000e+01,3.570979726101030849e+01
8.000000000000000000e+01,3.508873579014719013e+01
8.500000000000000000e+01,3.448930062916771533e+01
9.000000000000000000e+01,3.391275061755274578e+01
9.500000000000000000e+01,3.336022333336670442e+01
1.000000000000000000e+02,3.283271267104349533e+01
1.050000000000000000e+02,3.233104907759994262e+01
1.100000000000000000e+02,3.185588308086915887e+01
1.150000000000000000e+02,3.140767266090159637e+01
1.200000000000000000e+02,3.098667490053308882e+01
1.250000000000000000e+02,3.059294220638631501e+01
1.300000000000000000e+02,3.022632322356025725e+01
1.350000000000000000e+02,2.988646838522594607e+01
1.400000000000000000e+02,2.957283985377835478e+01
1.450000000000000000e+02,2.928472543569345277e+01
1.500000000000000000e+02,2.902125590012338208e+01
1.550000000000000000e+02,2.878142501213613969e+01
1.600000000000000000e+02,2.856411151302868134e+01
1.650000000000000000e+02,2.836810224620622733e+01
1.700000000000000000e+02,2.819211563755931849e+01
1.750000000000000000e+02,2.803482479012696515e+01
1.800000000000000000e+02,2.789487953709308954e+01
1.850000000000000000e+02,2.777092690580072443e+01
1.900000000000000000e+02,2.766162956861088063e+01
1.950000000000000000e+02,2.756568198444973206e+01
2.000000000000000000e+02,2.748182405927019545e+01
2.050000000000000000e+02,2.740885226760298110e+01
2.100000000000000000e+02,2.734562827607809155e+01
2.150000000000000000e+02,2.729108519044849857e+01
2.200000000000000000e+02,2.724423160922794551e+01
2.250000000000000000e+02,2.721976008744079323e+01
2.300000000000000000e+02,2.721976008744079323e+01
2.350000000000000000e+02,2.721976008744079323e+01
2.400000000000000000e+02,2.721976008744079323e+01
2.450000000000000000e+02,2.721976008744079323e+01
2.500000000000000000e+02,2.721976008744079323e+01
2.550000000000000000e+02,2.721976008744079323e+01
2.600000000000000000e+02,2.721976008744079323e+01
2.650000000000000000e+02,2.721976008744079323e+01
2.700000000000000000e+02,2.721976008744079323e+01
2.750000000000000000e+02,2.721976008744079323e+01
2.800000000000000000e+02,2.721976008744079323e+01
2.850000000000000000e+02,2.721976008744079323e+01
2.900000000000000000e+02,2.721976008744079323e+01
2.950000000000000000e+02,2.721976008744079323e+01
3.000000000000000000e+02,2.721976008744079323e+01
3.050000000000000000e+02,2.721976008744079323e+01
3.100000000000000000e+02,2.721976008744079323e+01
3.150000000000000000e+02,2.721976008744079323e+01
3.200000000000000000e+02,2.721976008744079323e+01
3.250000000000000000e+02,2.721976008744079323e+01
3.300000000000000000e+02,2.721976008744079323e+01
3.350000000000000000e+02,2.721976008744079323e+01
3.400000000000000000e+02,2.721976008744079323e+01
3.450000000000000000e+02,2.721976008744079323e+01
3.500000000000000000e+02,2.721976008744079323e+01
3.550000000000000000e+02,2.721976008744079323e+01
3.600000000000000000e+02,2.721976008744079323e+01
3.650000000000000000e+02,2.721976008744079323e+01
3.700000000000000000e+02,2.721976008744079323e+01
3.750000000000000000e+02,2.721976008744079323e+01
3.800000000000000000e+02,2.721976008744079323e+01
3.850000000000000000e+02,2.721976008744079323e+01
3.900000000000000000e+02,2.721976008744079323e+01
3.950000000000000000e+02,2.721976008744079323e+01
4.000000000000000000e+02,2.721976008744079323e+01
4.050000000000000000e+02,2.721976008744079323e+01
4.100000000000000000e+02,2.721976008744079323e+01
4.150000000000000000e+02,2.721976008744079323e+01
4.200000000000000000e+02,2.721976008744079323e+01
4.250000000000000000e+02,2.721976008744079323e+01
4.300000000000000000e+02,2.721976008744079323e+01
4.350000000000000000e+02,2.721976008744079323e+01
4.400000000000000000e+02,2.721976008744079323e+01
4.450000000000000000e+02,2.721976008744079323e+01
4.500000000000000000e+02,2.721976008744079323e+01
4.550000000000000000e+02,2.721976008744079323e+01
4.600000000000000000e+02,2.721976008744079323e+01
4.650000000000000000e+02,2.721976008744079323e+01
4.700000000000000000e+02,2.721976008744079323e+01
4.750000000000000000e+02,2.721976008744079323e+01
4.800000000000000000e+02,2.721976008744079323e+01
4.850000000000000000e+02,2.721976008744079323e+01
4.900000000000000000e+02,2.721976008744079323e+01
4.950000000000000000e+02,2.721976008744079323e+01
5.000000000000000000e+02,2.721976008744079323e+01
5.050000000000000000e+02,2.721976008744079323e+01
5.100000000000000000e+02,2.721976008744079323e+01
5.150000000000000000e+02,2.721976008744079323e+01
5.200000000000000000e+02,2.721976008744079323e+01
5.250000000000000000e+02,2.721976008744079323e+01
5.300000000000000000e+02,2.721976008744079323e+01
5.350000000000000000e+02,2.721976008744079323e+01
5.400000000000000000e+02,2.721976008744079323e+01
5.450000000000000000e+02,2.721976008744079323e+01
5.500000000000000000e+02,2.721976008744079323e+01
5.550000000000000000e+02,2.721976008744079323e+01
5.600000000000000000e+02,2.721976008744079323e+01
5.650000000000000000e+02,2.721976008744079323e+01
5.700000000000000000e+02,2.721976008744079323e+01
5.750000000000000000e+02,2.721976008744079323e+01
5.800000000000000000e+02,2.721976008744079323e+01
5.850000000000000000e+02,2.721976008744079323e+01
5.900000000000000000e+02,2.721976008744079323e+01
5.950000000000000000e+02,2.721976008744079323e+01
6.000000000000000000e+02,2.721976008744079323e+01
6.050000000000000000e+02,2.721976008744079323e+01
6.100000000000000000e+02,2.721976008744079323e+01
6.150000000000000000e+02,2.721976008744079323e+01
6.200000000000000000e+02,2.721976008744079323e+01
6.250000000000000000e+02,2.721976008744079323e+01
6.300000000000000000e+02,2.721976008744079323e+01
6.350000000000000000e+02,2.721976008744079323e+01
6.400000000000000000e+02,2.721976008744079323e+01
6.450000000000000000e+02,2.721976008744079323e+01
6.500000000000000000e+02,2.721976008744079323e+01
6.550000000000000000e+02,2.721976008744079323e+01
6.600000000000000000e+02,2.721976008744079323e+01
6.650000000000000000e+02,2.721976008744079323e+01
6.700000000000000000e+02,2.721976008744079323e+01
