x, current_density, J_max, J_min
0.000000000000000000e+00,9.023203490256965637e+10,9.585977411709971619e+10,2.912319206384921875e+11
5.000000000000000000e+00,8.588339932131137085e+10,9.025653142235429382e+10,2.425319648347988586e+11
1.000000000000000000e+01,8.171378128016740417e+10,8.498081222727687073e+10,2.019756413983338623e+11
1.500000000000000000e+01,7.771699376452362061e+10,8.001347196707191467e+10,1.682011678174271851e+11
2.000000000000000000e+01,7.388703443674861145e+10,7.533648512446740723e+10,1.400744795722662659e+11
2.500000000000000000e+01,7.021808003504310608e+10,7.093287981859834290e+10,1.166511510118560791e+11
3.000000000000000000e+01,6.670448099242035675e+10,6.678667621733283234e+10,9.714468384207395935e+10
3.500000000000000000e+01,6.334075624421900177e+10,6.288282854955136871e+10,8.090009842952465820e+10
4.000000000000000000e+01,6.012158823803979492e+10,5.920717050695275879e+10,6.737194118153250885e+10
4.500000000000000000e+01,5.704181811098030853e+10,5.574636383726071930e+10,5.610596954368311310e+10
5.000000000000000000e+01,5.409644105880880737e+10,5.248784994228554535e+10,4.672389964176318359e+10
5.500000000000000000e+01,5.128060186205288696e+10,4.941980430519964600e+10,3.891070443108228302e+10
6.000000000000000000e+01,4.858959058197548676e+10,4.653109358165264893e+10,3.240403585598302460e+10
6.500000000000000000e+01,4.601883840818541718e+10,4.381123519901744843e+10,2.698541584143268967e+10
7.000000000000000000e+01,4.356391366373701477e+10,4.125035931716120148e+10,2.247290033166009903e+10
7.500000000000000000e+01,4.122051794665880585e+10,3.883917301270403290e+10,1.871497005213152313e+10
8.000000000000000000e+01,3.898448241852652740e+10,3.656892655679707336e+10,1.558544286154035759e+10
8.500000000000000000e+01,3.685176421689550781e+10,3.443138166404830933e+10,1.297923686298786354e+10
9.000000000000000000e+01,3.481844300625733185e+10,3.241878159737807083e+10,1.080884200995322418e+10
9.500000000000000000e+01,3.288071764490355301e+10,3.052382302031990051e+10,9.001381732179496765e+09
1.000000000000000000e+02,3.103490297099423218e+10,2.873962949462494659e+10,7.496165918033005714e+09
1.050000000000000000e+02,2.927742670198240662e+10,2.705972652699713516e+10,6.242653088446877480e+09
1.100000000000000000e+02,2.760482644146422958e+10,2.547801807440899658e+10,5.198753337215518951e+09
1.150000000000000000e+02,2.601374679118176270e+10,2.398876442274032593e+10,4.329415054510680199e+09
1.200000000000000000e+02,2.450093655778764725e+10,2.258656135846551132e+10,3.605447979238618374e+09
1.250000000000000000e+02,2.306324605841757202e+10,2.126632055780765152e+10,3.002543061204611301e+09
1.300000000000000000e+02,2.169762451258792877e+10,2.002325112219551086e+10,2.500456222444725513e+09
1.350000000000000000e+02,2.040111752218640137e+10,1.885284219301901627e+10,2.082328610419379234e+09
1.400000000000000000e+02,1.917086463226198578e+10,1.775084658259561920e+10,1.734120518827422142e+09
1.450000000000000000e+02,1.800409696987339783e+10,1.671326536194747162e+10,1.444139968481075525e+09
1.500000000000000000e+02,1.689813495634893990e+10,1.573633334946144485e+10,1.202650119136312962e+09
1.550000000000000000e+02,1.585038609077939034e+10,1.481650544777312088e+10,1.001542330124589443e+09
1.600000000000000000e+02,1.485834279906781578e+10,1.395044377929396057e+10,8.340638919586700201e+08
1.650000000000000000e+02,1.391958034639068031e+10,1.313500557369900513e+10,6.945912868033304214e+08
1.700000000000000000e+02,1.303175480996546745e+10,1.236723176342104721e+10,5.784413644500670433e+08
1.750000000000000000e+02,1.219260110723917198e+10,1.164433624576667404e+10,4.817140935451927185e+08
1.800000000000000000e+02,1.139993107788656425e+10,1.096369577268827248e+10,4.011616080407363772e+08
1.850000000000000000e+02,1.065163161602231407e+10,1.032284043152417755e+10,3.340791517670876384e+08
1.900000000000000000e+02,9.945662849263719559e+09,9.719444682163208008e+09,2.782142593118814826e+08
1.950000000000000000e+02,9.280056362606826782e+09,9.151318918109287262e+09,2.316911237203528285e+08
2.000000000000000000e+02,8.652913463661823273e+09,8.616401520822883606e+09,1.929476114688392282e+08
2.050000000000000000e+02,8.062403487118691444e+09,8.112751378505971909e+09,1.606828098277285099e+08
2.100000000000000000e+02,7.506762135856083870e+09,7.638540842182677269e+09,1.338133453821152449e+08
2.150000000000000000e+02,6.984289856104614258e+09,7.192049093514559746e+09,1.114370069925381839e+08
2.200000000000000000e+02,6.493350244799861908e+09,6.771655900283600807e+09,9.280245174346223474e+07
2.250000000000000000e+02,6.032368486681813240e+09,6.375835736882802963e+09,7.728397667907868326e+07
2.300000000000000000e+02,5.599829819334905624e+09,6.003152248478748322e+09,6.436050922278723121e+07
2.350000000000000000e+02,5.194278024204817772e+09,5.652253038757650375e+09,5.359811082984583825e+07
2.400000000000000000e+02,4.814313941928333282e+09,5.321864762340650558e+09,4.463540638847719133e+07
2.450000000000000000e+02,4.458594010283286095e+09,5.010788504059660912e+09,3.717145012422890216e+07
2.500000000000000000e+02,4.125828823317656517e+09,4.717895428326047897e+09,3.095562057422495633e+07
2.550000000000000000e+02,3.814781710301565647e+09,4.442122682804574966e+09,2.577920532916683704e+07
