x, o_total, cc
0.000000000000000000e+00,2.766464148922921917e-01,2.816557555580812000e-01
5.000000000000000000e+00,2.637796015502079094e-01,2.706906219660842883e-01
1.000000000000000000e+01,2.473818513119722118e-01,2.560391712464555880e-01
1.500000000000000000e+01,2.279916217602682704e-01,2.381113835892106900e-01
2.000000000000000000e+01,2.063439508421187063e-01,2.175426569485876260e-01
2.500000000000000000e+01,1.832955042959753811e-01,1.951275037572230420e-01
3.000000000000000000e+01,1.597421850572602886e-01,1.717431038077297245e-01
3.500000000000000000e+01,1.365400870727822014e-01,1.482684306882538494e-01
4.000000000000000000e+01,1.144390969561489835e-01,1.255117019315598326e-01
4.500000000000000000e+01,9.403562229549351781e-02,1.041529873851004540e-01
5.000000000000000000e+01,7.574741680880507644e-02,8.470703208177379762e-02
5.500000000000000000e+01,5.980999449781558563e-02,6.750770439207655349e-02
6.000000000000000000e+01,4.629128319341601489e-02,5.271246427276442270e-02
6.500000000000000000e+01,3.511934657493366585e-02,4.032278672691710225e-02
7.000000000000000000e+01,2.611732262451918474e-02,3.021517020784156293e-02
7.500000000000000000e+01,1.904006631261269400e-02,2.217706281804306123e-02
8.000000000000000000e+01,1.360806120940490603e-02,1.594264639747481477e-02
8.500000000000000000e+01,9.535624984112310229e-03,1.122462324622168148e-02
9.000000000000000000e+01,6.551941847184311780e-03,7.739616295991454814e-03
9.500000000000000000e+01,4.414755437326711544e-03,5.226221040020329577e-03
1.000000000000000000e+02,2.917501223413250435e-03,3.455920116853261354e-03
1.050000000000000000e+02,1.891206436685677946e-03,2.237876633652239374e-03
1.100000000000000000e+02,1.202677582555219645e-03,1.419043656638684873e-03
1.150000000000000000e+02,7.504184935265151030e-04,8.811190433524617891e-04
1.200000000000000000e+02,4.594792409917591511e-04,5.357298553959617248e-04
1.250000000000000000e+02,2.761228702369620375e-04,3.189508267716591378e-04
1.300000000000000000e+02,1.628848875510458091e-04,1.859358963910250745e-04
1.350000000000000000e+02,9.433447378391977931e-05,1.061353537187776697e-04
1.400000000000000000e+02,5.364655532702374664e-05,5.932127745550921412e-05
1.450000000000000000e+02,2.996171043724290222e-05,3.246469116753444650e-05
1.500000000000000000e+02,1.643679505299018253e-05,1.739640849637006902e-05
1.550000000000000000e+02,8.858629663412333002e-06,9.127524283802763996e-06
1.600000000000000000e+02,4.691248341338067784e-06,4.689098108411031254e-06
1.650000000000000000e+02,2.441500070290836261e-06,2.358667210112276574e-06
1.700000000000000000e+02,1.248951865284304080e-06,1.161671617029279694e-06
1.750000000000000000e+02,6.281011973635725547e-07,5.601933791369718622e-07
1.800000000000000000e+02,3.105866801576410414e-07,2.645021116724316113e-07
1.850000000000000000e+02,1.510356778058210055e-07,1.222800859368848766e-07
1.900000000000000000e+02,7.224267826247804397e-08,5.534988402332995956e-08
1.950000000000000000e+02,3.399378171819840833e-08,2.453076903860069322e-08
2.000000000000000000e+02,1.573873880657500620e-08,1.064481842652054405e-08
2.050000000000000000e+02,7.170975269540926554e-09,4.522694590459673156e-09
2.100000000000000000e+02,3.215858673666244974e-09,1.881427611651614250e-09
2.150000000000000000e+02,1.419705236455314089e-09,7.663169265589943818e-10
2.200000000000000000e+02,6.170969708584108320e-10,3.056042858966499498e-10
2.250000000000000000e+02,2.641396143555965979e-10,1.193273774510083071e-10
2.300000000000000000e+02,1.113547651733642994e-10,4.561943963819139367e-11
2.350000000000000000e+02,4.624329631631073481e-11,1.707609629413772515e-11
2.400000000000000000e+02,1.892005225756858995e-11,6.258289975366914751e-12
2.450000000000000000e+02,7.627769745848022428e-12,2.245695556714385651e-12
2.500000000000000000e+02,3.030692558264457366e-12,7.889943433843731808e-13
2.550000000000000000e+02,1.186921095153750118e-12,2.714091217381332637e-13
2.600000000000000000e+02,4.582508462459190219e-13,9.141180435145205043e-14
2.650000000000000000e+02,1.744420420967069610e-13,3.014443771926688397e-14
2.700000000000000000e+02,6.548316944886904280e-14,9.732825776519421833e-15
2.750000000000000000e+02,2.424388550611874638e-14,3.076786603269397605e-15
2.800000000000000000e+02,8.853832293572520026e-15,9.523186546440445683e-16
2.850000000000000000e+02,3.189911174168775278e-15,2.885981447923134680e-16
2.900000000000000000e+02,1.133978917508179833e-15,8.563098843035649976e-17
2.950000000000000000e+02,3.978052277442348080e-16,2.487679462244163755e-17
3.000000000000000000e+02,1.377318221672317119e-16,7.075934421134423276e-18
3.050000000000000000e+02,4.707114389853274983e-17,1.970602255609263832e-18
3.100000000000000000e+02,1.588142186627493801e-17,5.373284566768181296e-19
3.150000000000000000e+02,5.290477510711699462e-18,1.434518970432418624e-19
3.200000000000000000e+02,1.740311898904542779e-18,3.749714880718145326e-20
3.250000000000000000e+02,5.653808332816290239e-19,9.596560510726225962e-21
3.300000000000000000e+02,1.814224742551916507e-19,2.404685556614360306e-21
3.350000000000000000e+02,5.750830062217234450e-20,5.899649867459646134e-22
3.400000000000000000e+02,1.800993162686292264e-20,1.417161565828916227e-22
3.450000000000000000e+02,5.572980492819186487e-21,3.333017645437926251e-23
3.500000000000000000e+02,1.704150630177620221e-21,7.675044804111522873e-24
3.550000000000000000e+02,5.150195704081876408e-22,1.730410846144809027e-24
3.600000000000000000e+02,1.538453303884332984e-22,3.819816387347064318e-25
3.650000000000000000e+02,4.542955949280984864e-23,8.255828199756871035e-26
3.700000000000000000e+02,1.326277489636465166e-23,1.747043265203176410e-26
3.750000000000000000e+02,3.828417143491383266e-24,3.619690888022080357e-27
3.800000000000000000e+02,1.092797471331923466e-24,7.342840232083976257e-28
3.850000000000000000e+02,3.084903409846934424e-25,1.458415948787239973e-28
3.900000000000000000e+02,8.613310539288302993e-26,2.836112325439791484e-29
3.950000000000000000e+02,2.378864923325790470e-26,5.399954642928295352e-30
4.000000000000000000e+02,6.499566953084642628e-27,1.006656790376744356e-30
4.050000000000000000e+02,1.756940990260400824e-27,1.837373057461774799e-31
4.100000000000000000e+02,4.699271519952993357e-28,3.283506141605510795e-32
4.150000000000000000e+02,1.243788002937142581e-28,5.745169794740425973e-33
4.200000000000000000e+02,3.257960876724236543e-29,9.842205428259462498e-34
4.250000000000000000e+02,8.446360906581719005e-30,1.650845690182944459e-34
4.300000000000000000e+02,2.167492737881652209e-30,2.711096714342367149e-35
4.350000000000000000e+02,5.506165862029328160e-31,4.359212052341373102e-36
4.400000000000000000e+02,1.384788130744269325e-31,6.862706336341036950e-37
4.450000000000000000e+02,3.448243929699275746e-32,1.057808983170398961e-37
4.500000000000000000e+02,8.502191084659301110e-33,1.596406489127774041e-38
4.550000000000000000e+02,2.075960290461728495e-33,2.358870500773060204e-39
4.600000000000000000e+02,5.019945894666769199e-34,3.412629018218571817e-40
4.650000000000000000e+02,1.202283305424866552e-34,4.833908321848180439e-41
4.700000000000000000e+02,2.852185861430584327e-35,6.703970202707929774e-42
4.750000000000000000e+02,6.702656627298451007e-36,9.103115711761749909e-43
4.800000000000000000e+02,1.560445718685566606e-36,1.210242389041372220e-43
4.850000000000000000e+02,3.599289719658169011e-37,1.575356879555771030e-44
4.900000000000000000e+02,8.225925948711983835e-38,2.007750915506851076e-45
