x, screening_profile, B_max, B_min
0.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+02
5.000000000000000000e+00,9.012801487689131363e+01,8.940469461431239040e+01,8.321936745175869987e+01
1.000000000000000000e+01,8.112779616927485904e+01,7.993199419078460721e+01,6.925463119070833784e+01
1.500000000000000000e+01,7.291415612313753059e+01,7.146295530540091079e+01,5.763326600795585364e+01
2.000000000000000000e+01,6.541223054190189146e+01,6.389123695315623763e+01,4.796203941361032719e+01
2.500000000000000000e+01,5.855661006742559493e+01,5.712176528327604785e+01,3.991370581696970277e+01
3.000000000000000000e+01,5.229046739830851465e+01,5.106953980981727881e+01,3.321593350743800244e+01
3.500000000000000000e+01,4.656464471185099541e+01,4.565856610790183367e+01,2.764208975808666935e+01
4.000000000000000000e+01,4.133671829496766037e+01,4.082090159404357621e+01,2.300357224712710291e+01
4.500000000000000000e+01,3.657005142301555622e+01,3.649580240896364813e+01,1.914342731536748232e+01
5.000000000000000000e+01,3.223284445281797161e+01,3.262896069077680750e+01,1.593103912043601333e+01
5.500000000000000000e+01,2.829719309290750218e+01,2.917182266141304936e+01,1.325770998451906912e+01
6.000000000000000000e+01,2.473817141665538699e+01,2.608097896386511394e+01,1.103298238770542206e+01
6.500000000000000000e+01,2.153296408297851627e+01,2.331761959506666670e+01,9.181578154112399304e+00
7.000000000000000000e+01,1.866008019318116240e+01,2.084704659029641860e+01,7.640851261941199013e+00
7.500000000000000000e+01,1.609868628648941780e+01,1.863823834015794034e+01,6.358668088117186201e+00
8.000000000000000000e+01,1.382809515241788745e+01,1.666346006950589498e+01,5.291643361287961866e+00
8.500000000000000000e+01,1.182743840708673311e+01,1.489791558731963583e+01,4.403672133066823591e+00
9.000000000000000000e+01,1.007553421932558280e+01,1.331943593474117016e+01,3.664708093787579557e+00
9.500000000000000000e+01,8.550939886830349224e+00,1.190820102180432727e+01,3.049746894603426739e+00
1.000000000000000000e+02,7.232156987772277112e+00,1.064649075760258334e+01,2.537980074568626510e+00
1.050000000000000000e+02,6.097939987967091469e+00,9.518462548975586301e+00,2.112090964107684155e+00
1.100000000000000000e+02,5.127651501122840294e+00,8.509952373889317911e+00,1.757668740336166158e+00
1.150000000000000000e+02,4.301610092438458821e+00,7.608296931699173982e+00,1.462720807605052187e+00
1.200000000000000000e+02,3.601387768977139192e+00,6.802174637135746771e+00,1.217267003674180614e+00
1.250000000000000000e+02,3.010030284539139789e+00,6.081463461463426867e+00,1.013001900656630205e+00
1.300000000000000000e+02,2.512189854452252291e+00,5.437113835802369621e+00,8.430137740007405123e-01
1.350000000000000000e+02,2.094173532157938222e+00,4.861035020731634404e+00,7.015507302546146740e-01
1.400000000000000000e+02,1.743824985317991239e+00,4.345993515379896088e+00,5.838260800710840526e-01
1.450000000000000000e+02,1.451297996740917418e+00,3.885522230383216424e+00,4.858563708535543202e-01
1.500000000000000000e+02,1.207761013288066065e+00,3.473839284245334280e+00,4.043265985483987524e-01
1.550000000000000000e+02,1.005091076053392207e+00,3.105775403471556562e+00,3.364780377511891740e-01
1.600000000000000000e+02,8.364304361932858312e-01,2.776709014880174298e+00,2.800148946306296738e-01
1.650000000000000000e+02,6.960721184968914343e-01,2.482508215081701941e+00,2.330266240823185842e-01
1.700000000000000000e+02,5.792668142902036577e-01,2.219478888469013533e+00,1.939232825554930706e-01
1.750000000000000000e+02,4.820621789341038577e-01,1.984318322264857049e+00,1.613817290843680141e-01
1.800000000000000000e+02,4.011690962192308585e-01,1.774073736196743578e+00,1.343008541267219358e-01
1.850000000000000000e+02,3.338503844402890830e-01,1.586105206079420071e+00,1.117643212865671448e-01
