x, ell
0.000000000000000000e+00,3.278143013818203055e+00
1.000000000000000000e+00,3.284191076257229280e+00
2.000000000000000000e+00,3.290272037639034863e+00
3.000000000000000000e+00,3.296386026297480232e+00
4.000000000000000000e+00,3.302533171455620309e+00
5.000000000000000000e+00,3.308713603230121869e+00
6.000000000000000000e+00,3.314927452635735516e+00
7.000000000000000000e+00,3.321174851589792976e+00
8.000000000000000000e+00,3.327455932916747017e+00
9.000000000000000000e+00,3.333770830352755343e+00
1.000000000000000000e+01,3.340119678550299120e+00
1.100000000000000000e+01,3.346502613082839250e+00
1.200000000000000000e+01,3.352919770449514836e+00
1.300000000000000000e+01,3.359371288079886941e+00
1.400000000000000000e+01,3.365857304338712552e+00
1.500000000000000000e+01,3.372377958530763831e+00
1.600000000000000000e+01,3.378933390905690004e+00
1.700000000000000000e+01,3.385523742662918778e+00
1.800000000000000000e+01,3.392149155956591056e+00
1.900000000000000000e+01,3.398809773900556053e+00
2.000000000000000000e+01,3.405505740573381512e+00
2.100000000000000000e+01,3.412237201023429645e+00
2.200000000000000000e+01,3.419004301273966373e+00
2.300000000000000000e+01,3.425807188328301223e+00
2.400000000000000000e+01,3.432646010174991602e+00
2.500000000000000000e+01,3.439520915793075506e+00
2.600000000000000000e+01,3.446432055157343743e+00
2.700000000000000000e+01,3.453379579243669006e+00
2.800000000000000000e+01,3.460363640034369137e+00
2.900000000000000000e+01,3.467384390523615689e+00
3.000000000000000000e+01,3.474441984722884680e+00
3.100000000000000000e+01,3.481536577666462851e+00
3.200000000000000000e+01,3.488668325416972138e+00
3.300000000000000000e+01,3.495837385070978964e+00
3.400000000000000000e+01,3.503043914764606637e+00
3.500000000000000000e+01,3.510288073679223242e+00
3.600000000000000000e+01,3.517570022047159739e+00
3.700000000000000000e+01,3.524889921157481343e+00
3.800000000000000000e+01,3.532247933361801984e+00
3.900000000000000000e+01,3.539644222080138736e+00
4.000000000000000000e+01,3.547078951806829306e+00
4.100000000000000000e+01,3.554552288116484160e+00
4.200000000000000000e+01,3.562064397669984395e+00
4.300000000000000000e+01,3.569615448220536891e+00
4.400000000000000000e+01,3.577205608619766330e+00
4.500000000000000000e+01,3.584835048823869830e+00
4.600000000000000000e+01,3.592503939899801324e+00
4.700000000000000000e+01,3.600212454031525233e+00
4.800000000000000000e+01,3.607960764526299435e+00
4.900000000000000000e+01,3.615749045821020413e+00
5.000000000000000000e+01,3.623577473488619027e+00
5.100000000000000000e+01,3.631446224244497589e+00
5.200000000000000000e+01,3.639355475953022889e+00
5.300000000000000000e+01,3.647305407634068963e+00
5.400000000000000000e+01,3.655296199469614926e+00
5.500000000000000000e+01,3.663328032810380552e+00
5.600000000000000000e+01,3.671401090182535576e+00
5.700000000000000000e+01,3.679515555294437412e+00
5.800000000000000000e+01,3.687671613043440821e+00
5.900000000000000000e+01,3.695869449522747541e+00
6.000000000000000000e+01,3.704109252028312760e+00
6.100000000000000000e+01,3.712391209065810216e+00
6.200000000000000000e+01,3.720715510357643474e+00
6.300000000000000000e+01,3.729082346850014051e+00
6.400000000000000000e+01,3.737491910720046828e+00
6.500000000000000000e+01,3.745944395382962977e+00
6.600000000000000000e+01,3.754439995499320837e+00
6.700000000000000000e+01,3.762978906982293648e+00
6.800000000000000000e+01,3.771561327005028108e+00
6.900000000000000000e+01,3.780187454008028247e+00
7.000000000000000000e+01,3.788857487706632110e+00
7.100000000000000000e+01,3.797571629098507540e+00
7.200000000000000000e+01,3.806330080471240773e+00
7.300000000000000000e+01,3.815133045409953905e+00
7.400000000000000000e+01,3.823980728805000950e+00
7.500000000000000000e+01,3.832873336859710545e+00
7.600000000000000000e+01,3.841811077098192140e+00
7.700000000000000000e+01,3.850794158373208376e+00
7.800000000000000000e+01,3.859822790874090082e+00
7.900000000000000000e+01,3.868897186134721888e+00
8.000000000000000000e+01,3.878017557041602448e+00
8.100000000000000000e+01,3.887184117841933073e+00
8.200000000000000000e+01,3.896397084151804080e+00
8.300000000000000000e+01,3.905656672964409104e+00
8.400000000000000000e+01,3.914963102658352234e+00
8.500000000000000000e+01,3.924316593005990228e+00
8.600000000000000000e+01,3.933717365181868431e+00
8.700000000000000000e+01,3.943165641771187335e+00
8.800000000000000000e+01,3.952661646778359295e+00
8.900000000000000000e+01,3.962205605635618078e+00
9.000000000000000000e+01,3.971797745211691488e+00
9.100000000000000000e+01,3.981438293820549035e+00
9.200000000000000000e+01,3.991127481230203333e+00
9.300000000000000000e+01,4.000865538671592780e+00
9.400000000000000000e+01,4.010652698847517961e+00
