x, current_density, J_max, J_min
0.000000000000000000e+00,8.547033423367552185e+10,8.667634715328952026e+10,1.304063953688959351e+11
1.000000000000000000e+00,8.457700661604048157e+10,8.573738512811436462e+10,1.282867947559514008e+11
2.000000000000000000e+00,8.369288941577371216e+10,8.480859484775401306e+10,1.262016457260422516e+11
3.000000000000000000e+00,8.281788798723828125e+10,8.388986612203053284e+10,1.241503883097259216e+11
4.000000000000000000e+00,8.195190866530137634e+10,8.298108995445268250e+10,1.221324716391961212e+11
5.000000000000000000e+00,8.109485875497769165e+10,8.208215852928454590e+10,1.201473538003465118e+11
6.000000000000000000e+00,8.024664652099620056e+10,8.119296519875459290e+10,1.181945016872390442e+11
7.000000000000000000e+00,7.940718117813621521e+10,8.031340447040304565e+10,1.162733908589375916e+11
8.000000000000000000e+00,7.857637288074279785e+10,7.944337199456654358e+10,1.143835053986687927e+11
9.000000000000000000e+00,7.775413271285823059e+10,7.858276455199816895e+10,1.125243377752717743e+11
1.000000000000000000e+01,7.694037267843013000e+10,7.773148004162173462e+10,1.106953887069001617e+11
1.100000000000000000e+01,7.613500569221220398e+10,7.688941746841864014e+10,1.088961670269391785e+11
1.200000000000000000e+01,7.533794556926271057e+10,7.605647693144604492e+10,1.071261895521023712e+11
1.300000000000000000e+01,7.454910701650698853e+10,7.523255961198472595e+10,1.053849809526719360e+11
1.400000000000000000e+01,7.376840562134207153e+10,7.441756776181536865e+10,1.036720736248484192e+11
1.500000000000000000e+01,7.299575784466400146e+10,7.361140469162199402e+10,1.019870075651751862e+11
1.600000000000000000e+01,7.223108101084754944e+10,7.281397475952073669e+10,1.003293302470036926e+11
1.700000000000000000e+01,7.147429329833316040e+10,7.202518335971313477e+10,9.869859649896708679e+10
1.800000000000000000e+01,7.072531373108300781e+10,7.124493691126228333e+10,9.709436838542875671e+10
1.900000000000000000e+01,6.998406216986326599e+10,7.047314284699043274e+10,9.551621508887423706e+10
2.000000000000000000e+01,6.925045930174209595e+10,6.970970960249708557e+10,9.396371279421449280e+10
2.100000000000000000e+01,6.852442663471458435e+10,6.895454660529585266e+10,9.243644457496987915e+10
2.200000000000000000e+01,6.780588648414663696e+10,6.820756426406914520e+10,9.093400028130412292e+10
2.300000000000000000e+01,6.709476196944896698e+10,6.746867395803916168e+10,8.945597642987786865e+10
2.400000000000000000e+01,6.639097700386367798e+10,6.673778802645410156e+10,8.800197609549282837e+10
2.500000000000000000e+01,6.569445628424176025e+10,6.601481975818818665e+10,8.657160880449703979e+10
2.600000000000000000e+01,6.500512528528276825e+10,6.529968338145441437e+10,8.516449042992250061e+10
2.700000000000000000e+01,6.432291024968172455e+10,6.459229405362878418e+10,8.378024308832756042e+10
