x, lambda_eff
0.000000000000000000e+00,8.434733271980165625e+01
1.000000000000000000e+00,8.433897546375690979e+01
2.000000000000000000e+00,8.433057735245404274e+01
3.000000000000000000e+00,8.432213844801833602e+01
4.000000000000000000e+00,8.431365881278421170e+01
5.000000000000000000e+00,8.430513850929506248e+01
6.000000000000000000e+00,8.429657760030292479e+01
7.000000000000000000e+00,8.428797614876826572e+01
8.000000000000000000e+00,8.427933421785974133e+01
9.000000000000000000e+00,8.427065187095382726e+01
1.000000000000000000e+01,8.426192917163483287e+01
1.100000000000000000e+01,8.425316618369434707e+01
1.200000000000000000e+01,8.424436297113112460e+01
1.300000000000000000e+01,8.423551959815085866e+01
1.400000000000000000e+01,8.422663612916589670e+01
1.500000000000000000e+01,8.421771262879491360e+01
1.600000000000000000e+01,8.420874916186274106e+01
1.700000000000000000e+01,8.419974579340014031e+01
1.800000000000000000e+01,8.419070258864351786e+01
1.900000000000000000e+01,8.418161961303449914e+01
2.000000000000000000e+01,8.417249693221998541e+01
2.100000000000000000e+01,8.416333461205169897e+01
2.200000000000000000e+01,8.415413271858591315e+01
2.300000000000000000e+01,8.414489131808331024e+01
2.400000000000000000e+01,8.413561047700866879e+01
2.500000000000000000e+01,8.412629026203052263e+01
2.600000000000000000e+01,8.411693074002107551e+01
2.700000000000000000e+01,8.410753197805581749e+01
2.800000000000000000e+01,8.409809404341329753e+01
2.900000000000000000e+01,8.408861700357485347e+01
3.000000000000000000e+01,8.407910092622444154e+01
3.100000000000000000e+01,8.406954587924825262e+01
3.200000000000000000e+01,8.405995193073454175e+01
3.300000000000000000e+01,8.405031914897330125e+01
3.400000000000000000e+01,8.404064760245610444e+01
3.500000000000000000e+01,8.403093735987573609e+01
3.600000000000000000e+01,8.402118849012600776e+01
3.700000000000000000e+01,8.401140106230147353e+01
3.800000000000000000e+01,8.400157514569713157e+01
3.900000000000000000e+01,8.399171080980826787e+01
4.000000000000000000e+01,8.398180812433004405e+01
4.100000000000000000e+01,8.397186715915742639e+01
4.200000000000000000e+01,8.396188798438475942e+01
4.300000000000000000e+01,8.395187067030555284e+01
4.400000000000000000e+01,8.394181528741229670e+01
4.500000000000000000e+01,8.393172190639612040e+01
4.600000000000000000e+01,8.392159059814655109e+01
4.700000000000000000e+01,8.391142143375124363e+01
4.800000000000000000e+01,8.390121448449571062e+01
4.900000000000000000e+01,8.389096982186312346e+01
5.000000000000000000e+01,8.388068751753397123e+01
5.100000000000000000e+01,8.387036764338586181e+01
5.200000000000000000e+01,8.386001027149318077e+01
5.300000000000000000e+01,8.384961547412693506e+01
5.400000000000000000e+01,8.383918332375435511e+01
5.500000000000000000e+01,8.382871389303875276e+01
5.600000000000000000e+01,8.381820725483926537e+01
5.700000000000000000e+01,8.380766348221042961e+01
5.800000000000000000e+01,8.379708264840205345e+01
5.900000000000000000e+01,8.378646482685896046e+01
6.000000000000000000e+01,8.377581009122062028e+01
6.100000000000000000e+01,8.376511851532103492e+01
6.200000000000000000e+01,8.375439017318829826e+01
6.300000000000000000e+01,8.374362513904449656e+01
6.400000000000000000e+01,8.373282348730531055e+01
6.500000000000000000e+01,8.372198529257977384e+01
6.600000000000000000e+01,8.371111062967010241e+01
6.700000000000000000e+01,8.370019957357128249e+01
6.800000000000000000e+01,8.368925219947097105e+01
6.900000000000000000e+01,8.367826858274901269e+01
7.000000000000000000e+01,8.366724879897739697e+01
7.100000000000000000e+01,8.365619292391986050e+01
7.200000000000000000e+01,8.364510103353158854e+01
7.300000000000000000e+01,8.363397320395903023e+01
7.400000000000000000e+01,8.362280951153958597e+01
7.500000000000000000e+01,8.361161003280140847e+01
7.600000000000000000e+01,8.360037484446297640e+01
7.700000000000000000e+01,8.358910402343296653e+01
7.800000000000000000e+01,8.357779764680988421e+01
7.900000000000000000e+01,8.356645579188196393e+01
8.000000000000000000e+01,8.355507853612667191e+01
8.100000000000000000e+01,8.354366595721053557e+01
8.200000000000000000e+01,8.353221813298894460e+01
