x, o_total, cc
0.000000000000000000e+00,1.253906280121365402e+00,6.572485401666258720e-02
1.000000000000000000e+00,3.836109311076172368e-01,6.572485379806963790e-02
2.000000000000000000e+00,1.141903572554324064e+00,6.572485314229081776e-02
3.000000000000000000e+00,9.728400598583095693e-01,6.572485204932609903e-02
4.000000000000000000e+00,9.068081245046640815e-01,6.572485051917553722e-02
5.000000000000000000e+00,9.143548264831115047e-01,6.572484855183911845e-02
6.000000000000000000e+00,9.279643908096594229e-01,6.572484614731695374e-02
7.000000000000000000e+00,9.323278668434252792e-01,6.572484330560905696e-02
8.000000000000000000e+00,9.314725595087962606e-01,6.572484002671545589e-02
9.000000000000000000e+00,9.298978356092586495e-01,6.572483631063623377e-02
1.000000000000000000e+01,9.291376694638666667e-01,6.572483215737148776e-02
1.100000000000000000e+01,9.290735601946409350e-01,6.572482756692127337e-02
1.200000000000000000e+01,9.292568513455942147e-01,6.572482253928570162e-02
1.300000000000000000e+01,9.294159764703010529e-01,6.572481707446482802e-02
1.400000000000000000e+01,9.294816695721105360e-01,6.572481117245887461e-02
1.500000000000000000e+01,9.294814719657762403e-01,6.572480483326781364e-02
1.600000000000000000e+01,9.294581786996874984e-01,6.572479805689185328e-02
1.700000000000000000e+01,9.294378108370319191e-01,6.572479084333113231e-02
1.800000000000000000e+01,9.294281069434250364e-01,6.572478319258576174e-02
1.900000000000000000e+01,9.294268942698180602e-01,6.572477510465592199e-02
2.000000000000000000e+01,9.294295232092960601e-01,6.572476657954175183e-02
2.100000000000000000e+01,9.294325388379705011e-01,6.572475761724344556e-02
2.200000000000000000e+01,9.294344381729746640e-01,6.572474821776116971e-02
2.300000000000000000e+01,9.294350960477244517e-01,6.572473838109510469e-02
2.400000000000000000e+01,9.294349703438800070e-01,6.572472810724543091e-02
2.500000000000000000e+01,9.294345617160320039e-01,6.572471739621241205e-02
2.600000000000000000e+01,9.294341887839004945e-01,6.572470624799620076e-02
2.700000000000000000e+01,9.294339721325391990e-01,6.572469466259706072e-02
2.800000000000000000e+01,9.294339046013911920e-01,6.572468264001518623e-02
2.900000000000000000e+01,9.294339281824491872e-01,6.572467018025086871e-02
3.000000000000000000e+01,9.294339845295943592e-01,6.572465728330427470e-02
3.100000000000000000e+01,9.294340361394087813e-01,6.572464394917576502e-02
3.200000000000000000e+01,9.294340678374916065e-01,6.572463017786550621e-02
3.300000000000000000e+01,9.294340795596581772e-01,6.572461596937384520e-02
3.400000000000000000e+01,9.294340779998878643e-01,6.572460132370104569e-02
