x, screening_profile, B_max, B_min
0.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+02
1.000000000000000000e+00,9.889115702091693549e+01,9.838851859732140781e+01,9.639286355005448570e+01
2.000000000000000000e+00,9.780062314625472197e+01,9.680300591775458940e+01,9.291584143379422756e+01
3.000000000000000000e+00,9.672428004052942185e+01,9.524304348015610344e+01,8.956424024966226227e+01
4.000000000000000000e+00,9.565826575691868072e+01,9.370821954712830859e+01,8.633353589349992774e+01
5.000000000000000000e+00,9.459886751114053993e+01,9.219812901634509217e+01,8.321936745175869987e+01
6.000000000000000000e+00,9.354249850367446584e+01,9.071237331362908662e+01,8.021753131499221467e+01
7.000000000000000000e+00,9.248567626220756210e+01,8.925056028775156847e+01,7.732397550368266081e+01
8.000000000000000000e+00,9.142500414585231283e+01,8.781230410692799637e+01,7.453479419874238943e+01
9.000000000000000000e+00,9.035715661641138752e+01,8.639722515698127836e+01,7.184622246930767631e+01
1.000000000000000000e+01,8.927886876871605182e+01,8.500494994114616532e+01,6.925463119070833784e+01
1.100000000000000000e+01,8.818693068326359707e+01,8.363511098148835288e+01,6.675652214575296739e+01
1.200000000000000000e+01,8.707818726738494775e+01,8.228734672191205846e+01,6.434852330271755250e+01
1.300000000000000000e+01,8.594954435747675348e+01,8.096130143273077806e+01,6.202738426366355640e+01
1.400000000000000000e+01,8.479798194213469742e+01,7.965662511677575708e+01,5.978997187694117343e+01
1.500000000000000000e+01,8.362057541131807170e+01,7.837297341701750497e+01,5.763326600795585364e+01
1.600000000000000000e+01,8.241452571154091800e+01,7.711000752567603911e+01,5.555435546248882162e+01
1.700000000000000000e+01,8.117719915679828091e+01,7.586739409479569929e+01,5.355043405706909709e+01
1.800000000000000000e+01,7.990617736968140150e+01,7.464480514826118451e+01,5.161879683109251715e+01
1.900000000000000000e+01,7.859931736583317274e+01,7.344191799523127884e+01,4.975683639557485805e+01
2.000000000000000000e+01,7.725482111240656025e+01,7.225841514496765683e+01,4.796203941361032719e+01
2.100000000000000000e+01,7.587131296953465665e+01,7.109398422303621601e+01,4.623198320778475079e+01
2.200000000000000000e+01,7.444792227713728039e+01,6.994831788885872470e+01,4.456433248996405894e+01
2.300000000000000000e+01,7.298436705968241256e+01,6.882111375459325586e+01,4.295683620904365085e+01
2.400000000000000000e+01,7.148103338497432446e+01,6.771207430532170690e+01,4.140732451240383938e+01
2.500000000000000000e+01,6.993904389600596971e+01,6.662090682052352975e+01,3.991370581696970277e+01
2.600000000000000000e+01,6.836030818352125493e+01,6.554732329681495173e+01,3.847396398592176325e+01
2.700000000000000000e+01,6.674754750400808234e+01,6.449104037193316685e+01,3.708615560724667404e+01
2.800000000000000000e+01,6.510428738467504672e+01,6.345177924994551688e+01,3.574840737045416716e+01
2.900000000000000000e+01,6.343481350851030243e+01,6.242926562766396614e+01,3.445891353791949996e+01
3.000000000000000000e+01,6.174408923742022637e+01,6.142322962224533711e+01,3.321593350743800244e+01
3.100000000000000000e+01,6.003763678392684255e+01,6.043340569995828560e+01,3.201778946270154336e+01
3.200000000000000000e+01,5.832138794464128040e+01,5.945953260609814350e+01,3.086286410852562412e+01
3.300000000000000000e+01,5.660151363867272067e+01,5.850135329603125456e+01,2.974959848776984117e+01
3.400000000000000000e+01,5.488424398815703142e+01,5.755861486735041410e+01,2.867648987700505714e+01
3.500000000000000000e+01,5.317569150072889528e+01,5.663106849312365654e+01,2.764208975808666935e+01
3.600000000000000000e+01,5.148168918102767577e+01,5.571846935621879027e+01,2.664500186289606631e+01
3.700000000000000000e+01,4.980765323020050062e+01,5.482057658468615102e+01,2.568388028861088301e+01
3.800000000000000000e+01,4.815847683122749601e+01,5.393715318818276216e+01,2.475742768096002422e+01
3.900000000000000000e+01,4.653845797448107646e+01,5.306796599542091997e+01,2.386439348301121655e+01
4.000000000000000000e+01,4.495126092777048399e+01,5.221278559262491115e+01,2.300357224712710291e+01
4.100000000000000000e+01,4.339990829916805382e+01,5.137138626297931410e+01,2.217380200781143174e+01
4.200000000000000000e+01,4.188679842137717202e+01,5.054354592705321636e+01,2.137396271324891117e+01
4.300000000000000000e+01,4.041374283471401441e+01,4.972904608418443217e+01,2.060297471342154907e+01
4.400000000000000000e+01,3.898201715878904139e+01,4.892767175480832975e+01,1.985979730276065780e+01
4.500000000000000000e+01,3.759242016672445175e+01,4.813921142371596318e+01,1.914342731536748232e+01
4.600000000000000000e+01,3.624533627464984420e+01,4.736345698422665151e+01,1.845289777090603778e+01
4.700000000000000000e+01,3.494044102168291488e+01,4.660020368326016182e+01,1.778727656934050216e+01
4.800000000000000000e+01,3.368019465459976658e+01,4.584925006729407926e+01,1.714566523275520282e+01
4.900000000000000000e+01,3.246530407981897071e+01,4.511039792919202540e+01,1.652719769255885751e+01
5.000000000000000000e+01,3.129423626567918149e+01,4.438345225588878407e+01,1.593103912043601333e+01
5.100000000000000000e+01,3.016541046541187399e+01,4.366822117691840077e+01,1.535638480146768536e+01
5.200000000000000000e+01,2.907730295194125958e+01,4.296451591377180534e+01,1.480245904790005085e+01
5.300000000000000000e+01,2.802844496110613548e+01,4.227215073007048574e+01,1.426851415209499052e+01
5.400000000000000000e+01,2.701742070907260995e+01,4.159094288254313199e+01,1.375382937724913823e+01
5.500000000000000000e+01,2.604286548126138356e+01,4.092071257279227581e+01,1.325770998451906912e+01
5.600000000000000000e+01,2.510346379021006058e+01,4.026128289983816444e+01,1.277948629523941726e+01
5.700000000000000000e+01,2.419794759988388577e+01,3.961247981342744851e+01,1.231851278696804286e+01
5.800000000000000000e+01,2.332509461403798312e+01,3.897413206809424935e+01,1.187416722213811937e+01
5.900000000000000000e+01,2.248372662632075603e+01,3.834607117796151954e+01,1.144584980814089192e+01
6.000000000000000000e+01,2.167270792989125638e+01,3.772813137227077362e+01,1.103298238770542206e+01
6.100000000000000000e+01,2.089094378440387345e+01,3.712014955162847940e+01,1.063500765848243113e+01
6.200000000000000000e+01,2.013737893829091874e+01,3.652196524495750651e+01,1.025138842077881840e+01
6.300000000000000000e+01,1.941099620434856021e+01,3.593342056714227084e+01,9.881606852427413656e+00
6.400000000000000000e+01,1.871081508670325988e+01,3.535436017735648306e+01,9.525163809813189886e+00
6.500000000000000000e+01,1.803589045730543816e+01,3.478463123806237434e+01,9.181578154112399304e+00
6.600000000000000000e+01,1.738531128016381189e+01,3.422408337467066985e+01,8.850386101835175268e+00
6.700000000000000000e+01,1.675819938159832390e+01,3.367256863585063797e+01,8.531140598794968000e+00
6.800000000000000000e+01,1.615370826485174405e+01,3.312994145447972016e+01,8.223410716659733666e+00
6.900000000000000000e+01,1.557102196745984379e+01,3.259605860922246734e+01,7.926781071270373680e+00
7.000000000000000000e+01,1.500935395983779763e+01,3.207077918672862893e+01,7.640851261941199013e+00
7.100000000000000000e+01,1.446794608359604162e+01,3.155396454444038312e+01,7.365235330985596462e+00
7.200000000000000000e+01,1.394606752815256634e+01,3.104547827399892057e+01,7.099561242737349787e+00
7.300000000000000000e+01,1.344301384426017876e+01,3.054518616524080699e+01,6.843470381364364918e+00
7.400000000000000000e+01,1.295810599311719180e+01,3.005295617077439729e+01,6.596617066796945927e+00
7.500000000000000000e+01,1.249068942977798002e+01,2.956865837112722062e+01,6.358668088117186201e+00
7.600000000000000000e+01,1.204013321962617944e+01,2.909216494045493562e+01,6.129302253779657761e+00
7.700000000000000000e+01,1.160582918671788555e+01,2.862335011280292107e+01,5.908209958056239941e+00
7.800000000000000000e+01,1.118719109284529445e+01,2.816209014891151696e+01,5.695092763119882662e+00
7.900000000000000000e+01,1.078365384621262812e+01,2.770826330355622247e+01,5.489662996203178658e+00
8.000000000000000000e+01,1.039467273865619568e+01,2.726174979341419657e+01,5.291643361287961866e+00
8.100000000000000000e+01,1.001972271037898032e+01,2.682243176544855601e+01,5.100766564801822334e+00
8.200000000000000000e+01,9.658297641207234108e+00,2.639019326580219627e+01,4.916774954816221843e+00
8.300000000000000000e+01,9.309909667412439305e+00,2.596492020919285437e+01,4.739420173259254021e+00
8.400000000000000000e+01,8.974088523176405374e+00,2.554650034880137000e+01,4.568462820673548030e+00
8.500000000000000000e+01,8.650380905810644450e+00,2.513482324664521528e+01,4.403672133066823591e+00
8.600000000000000000e+01,8.338349863873126822e+00,2.472978024442938860e+01,4.244825670418876484e+00
8.700000000000000000e+01,8.037574207356524170e+00,2.433126443486712276e+01,4.091709016424553980e+00
8.800000000000000000e+01,7.747647939151744545e+00,2.393917063346269103e+01,3.944115489067396396e+00
8.900000000000000000e+01,7.468179707019366731e+00,2.355339535074894286e+01,3.801845861633299073e+00
9.000000000000000000e+01,7.198792275329212842e+00,2.317383676497225764e+01,3.664708093787579557e+00
9.100000000000000000e+01,6.939122015854989556e+00,2.280039469521763351e+01,3.532517072352463927e+00
9.200000000000000000e+01,6.688818416936660682e+00,2.243297057496688041e+01,3.405094361435090367e+00
9.300000000000000000e+01,6.447543610348012599e+00,2.207146742608292911e+01,3.282267961568725134e+00
9.400000000000000000e+01,6.214971915230741217e+00,2.171578983321333567e+01,3.163872077542095873e+00
9.500000000000000000e+01,5.990789398479459571e+00,2.136584391860633758e+01,3.049746894603426739e+00
9.600000000000000000e+01,5.774693450984233145e+00,2.102153731733265829e+01,2.939738362737104982e+00
9.700000000000000000e+01,5.566392379158597414e+00,2.068277915290670066e+01,2.833697988721784800e+00
9.800000000000000000e+01,5.365605011201747487e+00,2.034948001330052136e+01,2.731482635689228555e+00
9.900000000000000000e+01,5.172060317563364151e+00,2.002155192734438671e+01,2.632954329913349767e+00
1.000000000000000000e+02,4.985497045098804314e+00,1.969890834150759318e+01,2.537980074568626510e+00
1.010000000000000000e+02,4.805663364420807326e+00,1.938146409705349527e+01,2.446431670206506759e+00
1.020000000000000000e+02,4.632316529971712171e+00,1.906913540756264425e+01,2.358185541707477295e+00
1.030000000000000000e+02,4.465222552357324126e+00,1.876183983681817935e+01,2.273122571475201692e+00
1.040000000000000000e+02,4.304155882500155350e+00,1.845949627704750640e+01,2.191127938647580820e+00
1.050000000000000000e+02,4.148899107185686219e+00,1.816202492751473940e+01,2.112090964107684155e+00
1.060000000000000000e+02,3.999242655590683704e+00,1.786934727345798635e+01,2.035904961085349907e+00
1.070000000000000000e+02,3.854984516397450545e+00,1.758138606536615711e+01,1.962467091147791498e+00
1.080000000000000000e+02,3.715929965112142686e+00,1.729806529858965192e+01,1.891678225384814116e+00
1.090000000000000000e+02,3.581891301219096491e+00,1.701931019327967931e+01,1.823442810601275887e+00
1.100000000000000000e+02,3.452687594816344685e+00,1.674504717465080006e+01,1.757668740336166158e+00
1.110000000000000000e+02,3.328144442390351010e+00,1.647520385356154193e+01,1.694267230534202140e+00
1.120000000000000000e+02,3.208093731400266879e+00,1.620970900740800857e+01,1.633152699702120403e+00
1.130000000000000000e+02,3.092373413353967759e+00,1.594849256132531146e+01,1.574242653387896151e+00
1.140000000000000000e+02,2.980827285069540533e+00,1.569148556969197372e+01,1.517457572826951928e+00
1.150000000000000000e+02,2.873304777826969136e+00,1.543862019793239071e+01,1.462720807605052187e+00
1.160000000000000000e+02,2.769660754125404800e+00,1.518982970461252791e+01,1.409958472192993195e+00
1.170000000000000000e+02,2.669755311771683459e+00,1.494504842382415077e+01,1.359099346213424653e+00
1.180000000000000000e+02,2.573453595035630315e+00,1.470421174785291285e+01,1.310074778305188925e+00
1.190000000000000000e+02,2.480625612617257669e+00,1.446725611012578128e+01,1.262818593455399707e+00
1.200000000000000000e+02,2.391146062180129483e+00,1.423411896843322033e+01,1.217267003674180614e+00
1.210000000000000000e+02,2.304894161214049220e+00,1.400473878842177200e+01,1.173358521891489703e+00
1.220000000000000000e+02,2.221753483998758050e+00,1.377905502735263710e+01,1.131033878959799788e+00
1.230000000000000000e+02,2.141611804448582124e+00,1.355700811812199902e+01,1.090235943650609274e+00
1.240000000000000000e+02,2.064360944625877270e+00,1.333853945353883574e+01,1.050909645536780568e+00
1.250000000000000000e+02,1.989896628718812011e+00,1.312359137085610783e+01,1.013001900656630205e+00
1.260000000000000000e+02,1.918118342286361022e+00,1.291210713655123143e+01,9.764615398594038709e-01
1.270000000000000000e+02,1.848929196580529455e+00,1.270403093135177564e+01,9.412392397354361062e-01
1.280000000000000000e+02,1.782235797762659057e+00,1.249930783550250091e+01,9.072874560377490738e-01
1.290000000000000000e+02,1.717948120837280213e+00,1.229788381426983257e+01,8.745603595052281465e-01
1.300000000000000000e+02,1.655979388133339114e+00,1.209970570367984877e+01,8.430137740007405123e-01
1.310000000000000000e+02,1.596245952168778404e+00,1.190472119648620719e+01,8.126051168806984748e-01
1.320000000000000000e+02,1.538667182740348194e+00,1.171287882836409366e+01,7.832933415155723944e-01
1.330000000000000000e+02,1.483165358086241614e+00,1.152412796432672870e+01,7.550388818837678873e-01
1.340000000000000000e+02,1.429665559974644840e+00,1.133841878536072301e+01,7.278035991640775526e-01
1.350000000000000000e+02,1.378095572576585104e+00,1.115570227527681446e+01,7.015507302546146740e-01
1.360000000000000000e+02,1.328385784986572116e+00,1.097593020777253692e+01,6.762448381487415894e-01
1.370000000000000000e+02,1.280469097259454792e+00,1.079905513370329828e+01,6.518517641010032060e-01
1.380000000000000000e+02,1.234280829836655657e+00,1.062503036855866156e+01,6.283385815185030809e-01
1.390000000000000000e+02,1.189758636239523604e+00,1.045380998014038454e+01,6.056735515154785254e-01
1.400000000000000000e+02,1.146842418911959927e+00,1.028534877643906498e+01,5.838260800710840526e-01
1.410000000000000000e+02,1.105474248098710977e+00,1.011960229370611941e+01,5.627666767325519848e-01
1.420000000000000000e+02,1.065598283649835887e+00,9.956526784718006340e+00,5.424669148079850345e-01
1.430000000000000000e+02,1.027160699645790487e+00,9.796079207229563934e+00,5.228993929950512820e-01
1.440000000000000000e+02,9.901096117413891173e-01,9.638217212613392704e+00,5.040376983937829847e-01
1.450000000000000000e+02,9.543950071305689065e-01,9.482899134682361009e+00,4.858563708535543202e-01
1.460000000000000000e+02,9.199686770374193578e-01,9.330083978692183422e+00,4.683308686061132819e-01
1.470000000000000000e+02,8.867841516423536907e-01,9.179731410521265289e+00,4.514375351382758361e-01
1.480000000000000000e+02,8.547966373555813124e-01,9.031801746024870070e+00,4.351535672595674420e-01
1.490000000000000000e+02,8.239629563532125944e-01,8.886255940560875644e+00,4.194569843217093585e-01
1.500000000000000000e+02,7.942414882943772403e-01,8.743055578684316487e+00,4.043265985483987524e-01
1.510000000000000000e+02,7.655921141406880626e-01,8.602162864007963705e+00,3.897419864353345864e-01
1.520000000000000000e+02,7.379761620022107227e-01,8.463540609226352984e+00,3.756834611818838932e-01
1.530000000000000000e+02,7.113563549368453476e-01,8.327152226300515991e+00,3.621320461171752547e-01
1.540000000000000000e+02,6.856967606326547227e-01,8.192961716800947869e+00,3.490694490847491283e-01
1.550000000000000000e+02,6.609627429052195025e-01,8.060933662406124967e+00,3.364780377511891740e-01
1.560000000000000000e+02,6.371209149445504760e-01,7.931033215554189830e+00,3.243408158054045809e-01
1.570000000000000000e+02,6.141390942484475923e-01,7.803226090245273028e+00,3.126414000164371432e-01
1.580000000000000000e+02,5.919862591814756270e-01,7.677478552992003991e+00,3.013639981188245276e-01
1.590000000000000000e+02,5.706325071009159533e-01,7.553757413915901608e+00,2.904933874956673323e-01
1.600000000000000000e+02,5.500490139931716316e-01,7.432030017987188764e+00,2.800148946306296738e-01
1.610000000000000000e+02,5.302079955661443966e-01,7.312264236405835227e+00,2.699143753011316593e-01
1.620000000000000000e+02,5.110826697450612244e-01,7.194428458121439718e+00,2.601781954860017954e-01
1.630000000000000000e+02,4.926472205211273048e-01,7.078491581489792850e+00,2.507932129618157258e-01
1.640000000000000000e+02,4.748767631042091764e-01,6.964423006063916510e+00,2.417467595630805877e-01
1.650000000000000000e+02,4.577473103325065962e-01,6.852192624517325470e+00,2.330266240823185842e-01
1.660000000000000000e+02,4.412357402938734130e-01,6.741770814697514602e+00,2.246210357869677376e-01
1.670000000000000000e+02,4.253197651150824599e-01,6.633128431807448599e+00,2.165186485308508713e-01
1.680000000000000000e+02,4.099779008769038890e-01,6.526236800713086872e+00,2.087085254387651412e-01
1.690000000000000000e+02,3.951894386143871563e-01,6.421067708374829763e+00,2.011801241435196286e-01
1.700000000000000000e+02,3.809344163632029656e-01,6.317593396400966732e+00,1.939232825554930706e-01
1.710000000000000000e+02,3.671935922143118036e-01,6.215786553721115659e+00,1.869282051455030402e-01
1.720000000000000000e+02,3.539484183405869344e-01,6.115620309377701069e+00,1.801854497224706919e-01
1.730000000000000000e+02,3.411810159603330672e-01,6.017068225433645168e+00,1.736859146880331828e-01
1.740000000000000000e+02,3.288741512039045634e-01,5.920104289994297275e+00,1.674208267508998649e-01
1.750000000000000000e+02,3.170112118508479071e-01,5.824702910341862605e+00,1.613817290843680141e-01
1.760000000000000000e+02,3.055761849061673363e-01,5.730838906180426129e+00,1.555604699110134381e-01
1.770000000000000000e+02,2.945536349854448455e-01,5.638487502989857347e+00,1.499491914991467612e-01
1.780000000000000000e+02,2.839286834796385106e-01,5.547624325486819608e+00,1.445403195561824339e-01
1.790000000000000000e+02,2.736869884714350776e-01,5.458225391191123599e+00,1.393265530046036427e-01
1.800000000000000000e+02,2.638147253760471100e-01,5.370267104095798771e+00,1.343008541267219358e-01
1.810000000000000000e+02,2.542985682803228231e-01,5.283726248439127637e+00,1.294564390649287910e-01
1.820000000000000000e+02,2.451256719549798069e-01,5.198579982577084202e+00,1.247867686646162433e-01
1.830000000000000000e+02,2.362836545156820345e-01,5.114805832954482767e+00,1.202855396474056815e-01
