x, lambda_eff
0.000000000000000000e+00,7.337698360719913637e+01
5.000000000000000000e+00,7.278139939892851373e+01
1.000000000000000000e+01,7.218718506583290662e+01
1.500000000000000000e+01,7.159442918103718512e+01
2.000000000000000000e+01,7.100322013472612070e+01
2.500000000000000000e+01,7.041364610798412116e+01
3.000000000000000000e+01,6.982579504641897472e+01
3.500000000000000000e+01,6.923975463357086824e+01
4.000000000000000000e+01,6.865561226410507345e+01
4.500000000000000000e+01,6.807345501678800304e+01
5.000000000000000000e+01,6.749336962724463262e+01
5.500000000000000000e+01,6.691544246049522826e+01
6.000000000000000000e+01,6.633975948326872185e+01
6.500000000000000000e+01,6.576640623608911085e+01
7.000000000000000000e+01,6.519546780513152839e+01
7.500000000000000000e+01,6.462702879384320909e+01
8.000000000000000000e+01,6.406117329432453289e+01
8.500000000000000000e+01,6.349798485846473284e+01
9.000000000000000000e+01,6.293754646882658221e+01
9.500000000000000000e+01,6.237994050927343892e+01
1.000000000000000000e+02,6.182524873533220244e+01
1.050000000000000000e+02,6.127355224428500691e+01
1.100000000000000000e+02,6.072493144498252349e+01
1.150000000000000000e+02,6.017946602737100648e+01
1.200000000000000000e+02,5.963723493172579282e+01
1.250000000000000000e+02,5.909831631758324022e+01
1.300000000000000000e+02,5.856278753236341572e+01
1.350000000000000000e+02,5.803072507967613092e+01
1.400000000000000000e+02,5.750220458730264284e+01
1.450000000000000000e+02,5.697730077484634137e+01
1.500000000000000000e+02,5.645608742104567312e+01
1.550000000000000000e+02,5.593863733074353206e+01
1.600000000000000000e+02,5.542502230150796549e+01
1.650000000000000000e+02,5.491531308989993221e+01
1.700000000000000000e+02,5.440957937738527050e+01
1.750000000000000000e+02,5.390788973588880850e+01
1.800000000000000000e+02,5.341031159299070197e+01
1.850000000000000000e+02,5.291691119676607968e+01
1.900000000000000000e+02,5.242775358027149935e+01
1.950000000000000000e+02,5.194290252568378463e+01
2.000000000000000000e+02,5.146242052809873968e+01
2.050000000000000000e+02,5.098636875900063359e+01
2.100000000000000000e+02,5.051480702941529444e+01
2.150000000000000000e+02,5.004779375276354614e+01
2.200000000000000000e+02,4.958538590743447827e+01
2.250000000000000000e+02,4.912763899910212473e+01
2.300000000000000000e+02,4.867460702281245233e+01
2.350000000000000000e+02,4.822634242487230694e+01
2.400000000000000000e+02,4.778289606457583005e+01
2.450000000000000000e+02,4.734431717580856258e+01
2.500000000000000000e+02,4.691065332857444048e+01
2.550000000000000000e+02,4.648195039049590349e+01
2.600000000000000000e+02,4.605825248834230479e+01
2.650000000000000000e+02,4.563960196964757188e+01
2.700000000000000000e+02,4.522603936448352613e+01
2.750000000000000000e+02,4.481760334746071806e+01
2.800000000000000000e+02,4.441433070003503047e+01
2.850000000000000000e+02,4.401625627320325407e+01
2.900000000000000000e+02,4.362341295067771796e+01
2.950000000000000000e+02,4.323583161263499619e+01
3.000000000000000000e+02,4.285354110014002771e+01
3.050000000000000000e+02,4.247656818035260784e+01
3.100000000000000000e+02,4.210493751262810491e+01
3.150000000000000000e+02,4.173867161563039474e+01
3.200000000000000000e+02,4.137779083557907711e+01
3.250000000000000000e+02,4.102231331575799089e+01
3.300000000000000000e+02,4.067225496741627921e+01
3.350000000000000000e+02,4.032762944219655310e+01
3.400000000000000000e+02,3.998844810622803436e+01
3.450000000000000000e+02,3.965472001602483942e+01
3.500000000000000000e+02,3.932645189633156235e+01
3.550000000000000000e+02,3.900364812005882698e+01
3.600000000000000000e+02,3.868631069045228799e+01
3.650000000000000000e+02,3.837443922563710430e+01
3.700000000000000000e+02,3.806803094567911927e+01
3.750000000000000000e+02,3.776708066230052907e+01
3.800000000000000000e+02,3.747158077138468713e+01
3.850000000000000000e+02,3.718152124839997441e+01
3.900000000000000000e+02,3.689688964686675376e+01
3.950000000000000000e+02,3.661767109998462644e+01
4.000000000000000000e+02,3.634384832552936473e+01
4.050000000000000000e+02,3.607540163411988487e+01
4.100000000000000000e+02,3.581230894094542805e+01
4.150000000000000000e+02,3.555454578103222474e+01
4.200000000000000000e+02,3.530208532811678879e+01
4.250000000000000000e+02,3.505489841717980681e+01
4.300000000000000000e+02,3.481295357068114527e+01
4.350000000000000000e+02,3.457621702852153334e+01
4.400000000000000000e+02,3.434465278174131697e+01
4.450000000000000000e+02,3.411822260995097622e+01
4.500000000000000000e+02,3.389688612247140043e+01
4.550000000000000000e+02,3.368060080314575089e+01
4.600000000000000000e+02,3.346932205876743183e+01
4.650000000000000000e+02,3.326300327105207799e+01
4.700000000000000000e+02,3.306159585206442131e+01
4.750000000000000000e+02,3.286504930299428651e+01
4.800000000000000000e+02,3.267331127615981501e+01
4.850000000000000000e+02,3.248632764009985152e+01
4.900000000000000000e+02,3.230404254760283322e+01
4.950000000000000000e+02,3.212639850650442241e+01
5.000000000000000000e+02,3.195333645307330883e+01
5.050000000000000000e+02,3.178479582779152324e+01
5.100000000000000000e+02,3.162071465332482134e+01
5.150000000000000000e+02,3.146102961446790403e+01
5.200000000000000000e+02,3.130567613984104014e+01
