x, ell
0.000000000000000000e+00,1.671584668785720140e+01
5.000000000000000000e+00,1.731035780519500022e+01
1.000000000000000000e+01,1.793458208616952021e+01
1.500000000000000000e+01,1.859028495974141748e+01
2.000000000000000000e+01,1.927935173274543246e+01
2.500000000000000000e+01,2.000379664441959804e+01
3.000000000000000000e+01,2.076577266807558786e+01
3.500000000000000000e+01,2.156758212644454176e+01
4.000000000000000000e+01,2.241168819356996167e+01
4.500000000000000000e+01,2.330072736309698200e+01
5.000000000000000000e+01,2.423752297049437487e+01
5.500000000000000000e+01,2.522509986521768965e+01
6.000000000000000000e+01,2.626670033816511207e+01
6.500000000000000000e+01,2.736580142008286387e+01
7.000000000000000000e+01,2.852613367795401444e+01
7.500000000000000000e+01,2.975170164896542957e+01
8.000000000000000000e+01,3.104680606552660649e+01
8.500000000000000000e+01,3.241606804015403753e+01
9.000000000000000000e+01,3.386445539599961307e+01
9.500000000000000000e+01,3.539731134757140296e+01
1.000000000000000000e+02,3.702038575697275036e+01
1.050000000000000000e+02,3.873986921399786354e+01
1.100000000000000000e+02,4.056243021392018733e+01
1.150000000000000000e+02,4.249525573507821008e+01
1.200000000000000000e+02,4.454609554971860064e+01
1.250000000000000000e+02,4.672331063635139259e+01
1.300000000000000000e+02,4.903592610050660028e+01
1.350000000000000000e+02,5.149368905369776428e+01
1.400000000000000000e+02,5.410713194809881799e+01
1.450000000000000000e+02,5.688764191748302324e+01
1.500000000000000000e+02,5.984753673398709850e+01
1.550000000000000000e+02,6.300014805595891687e+01
1.600000000000000000e+02,6.635991271530967595e+01
1.650000000000000000e+02,6.994247287432698101e+01
1.700000000000000000e+02,7.376478597280146232e+01
1.750000000000000000e+02,7.784524548772277797e+01
1.800000000000000000e+02,8.220381364097281107e+01
1.850000000000000000e+02,8.686216731682425518e+01
1.900000000000000000e+02,9.184385859225666593e+01
1.950000000000000000e+02,9.717449144095556335e+01
2.000000000000000000e+02,1.028819163484149186e+02
2.050000000000000000e+02,1.089964447731560711e+02
2.100000000000000000e+02,1.155510856103146438e+02
2.150000000000000000e+02,1.225818060617193623e+02
2.200000000000000000e+02,1.301278195944302638e+02
2.250000000000000000e+02,1.382319039813325503e+02
2.300000000000000000e+02,1.469407527670852289e+02
2.350000000000000000e+02,1.563053638953823850e+02
2.400000000000000000e+02,1.663814696746121626e+02
2.450000000000000000e+02,1.772300127548641626e+02
2.500000000000000000e+02,1.889176733469422800e+02
2.550000000000000000e+02,2.015174535416572041e+02
2.600000000000000000e+02,2.151093252943636287e+02
2.650000000000000000e+02,2.297809494358919835e+02
2.700000000000000000e+02,2.456284739685507645e+02
2.750000000000000000e+02,2.627574209182214418e+02
2.800000000000000000e+02,2.812836721560846627e+02
2.850000000000000000e+02,3.013345658936984250e+02
2.900000000000000000e+02,3.230501170129101638e+02
2.950000000000000000e+02,3.465843760401820646e+02
3.000000000000000000e+02,3.721069434392568951e+02
3.050000000000000000e+02,3.998046580063498823e+02
3.100000000000000000e+02,4.298834805420186740e+02
3.150000000000000000e+02,4.625705966822665118e+02
3.200000000000000000e+02,4.981167658425137006e+02
3.250000000000000000e+02,5.367989467124568819e+02
3.300000000000000000e+02,5.789232336955783467e+02
3.350000000000000000e+02,6.248281431805615966e+02
3.400000000000000000e+02,6.748882936393913496e+02
3.450000000000000000e+02,7.295185293558222384e+02
3.500000000000000000e+02,7.891785441985903162e+02
3.550000000000000000e+02,8.543780693814394454e+02
3.600000000000000000e+02,9.256826977292548690e+02
3.650000000000000000e+02,1.003720426748625528e+03
3.700000000000000000e+02,1.089189013957330417e+03
3.750000000000000000e+02,1.182864250662382346e+03
3.800000000000000000e+02,1.285609274922848044e+03
3.850000000000000000e+02,1.398385061059802865e+03
