x, o_total, cc
0.000000000000000000e+00,1.247647115311318666e+00,1.255677303789397570e+00
5.000000000000000000e+00,1.231697932500195769e+00,1.239686884592413385e+00
1.000000000000000000e+01,1.215832302114297603e+00,1.223778888648196617e+00
1.500000000000000000e+01,1.200052102179887337e+00,1.207955466299121650e+00
2.000000000000000000e+01,1.184359167261158863e+00,1.192218389530839806e+00
2.500000000000000000e+01,1.168755288277420590e+00,1.176569472303520936e+00
3.000000000000000000e+01,1.153242212339578687e+00,1.161010484642594376e+00
3.500000000000000000e+01,1.137821642605898020e+00,1.145543147376621551e+00
4.000000000000000000e+01,1.122495238157010355e+00,1.130169167040392386e+00
4.500000000000000000e+01,1.107264613890124094e+00,1.114890115882325672e+00
5.000000000000000000e+01,1.092131340432388464e+00,1.099707648526584203e+00
5.500000000000000000e+01,1.077096944073335560e+00,1.084623342369981147e+00
6.000000000000000000e+01,1.062162906716328514e+00,1.069637953466131108e+00
6.500000000000000000e+01,1.047330665848924980e+00,1.054754893159722595e+00
7.000000000000000000e+01,1.032601614532052903e+00,1.039973720696898196e+00
7.500000000000000000e+01,1.017977101407884888e+00,1.025296410495515342e+00
8.000000000000000000e+01,1.003458430726289041e+00,1.010724329799798538e+00
8.500000000000000000e+01,9.890468623897216149e-01,9.962582143138860591e-01
9.000000000000000000e+01,9.747436120164103546e-01,9.819006889554573458e-01
9.500000000000000000e+01,9.605498510216753383e-01,9.676516052350051522e-01
1.000000000000000000e+02,9.464667067172194415e-01,9.535126450671808085e-01
1.050000000000000000e+02,9.324952624282061286e-01,9.394848032236639002e-01
1.100000000000000000e+02,9.186365576279414968e-01,9.255691766822367050e-01
1.150000000000000000e+02,9.048915880899550679e-01,9.117667826657729346e-01
1.200000000000000000e+02,8.912613060572757151e-01,8.980785949140680513e-01
1.250000000000000000e+02,8.777466204286825668e-01,8.845055459299958622e-01
1.300000000000000000e+02,8.643483969616995166e-01,8.710485159982792602e-01
1.350000000000000000e+02,8.510674584921029684e-01,8.577083544443618868e-01
1.400000000000000000e+02,8.379045851696889091e-01,8.444858627770254200e-01
1.450000000000000000e+02,8.248605147100489532e-01,8.313817964817883377e-01
1.500000000000000000e+02,8.119359426620896825e-01,8.183968736627297291e-01
1.550000000000000000e+02,7.991315226910247205e-01,8.055317673779128773e-01
1.600000000000000000e+02,7.864478668765578773e-01,7.927871098677650163e-01
1.650000000000000000e+02,7.738855460259699282e-01,7.801634919654120148e-01
1.700000000000000000e+02,7.614450900018155943e-01,7.676614633541027910e-01
1.750000000000000000e+02,7.491269880639257472e-01,7.552815370150891550e-01
1.800000000000000000e+02,7.369316892254079709e-01,7.430241705519720075e-01
1.850000000000000000e+02,7.248596026223271815e-01,7.308897995361819389e-01
1.900000000000000000e+02,7.129110978967463375e-01,7.188788135657420142e-01
1.950000000000000000e+02,7.010865055927980594e-01,7.069915598867616557e-01
2.000000000000000000e+02,6.893861175654527607e-01,6.952283487955251973e-01
2.050000000000000000e+02,6.778101874016448924e-01,6.835894519782068635e-01
2.100000000000000000e+02,6.663589308534126898e-01,6.720751027028363245e-01
2.150000000000000000e+02,6.550325262827020323e-01,6.606854977753254810e-01
2.200000000000000000e+02,6.438311151174804792e-01,6.494207951909114485e-01
2.250000000000000000e+02,6.327548023188059867e-01,6.382811168913866684e-01
2.300000000000000000e+02,6.218036568584848212e-01,6.272665485417973086e-01
2.350000000000000000e+02,6.109777122069587341e-01,6.163771399945578988e-01
2.400000000000000000e+02,6.002769668310472539e-01,6.056129057709764840e-01
2.450000000000000000e+02,5.897013847011796095e-01,5.949738255581960011e-01
2.500000000000000000e+02,5.792508958077413617e-01,5.844598492396565481e-01
2.550000000000000000e+02,5.689253966861560485e-01,5.740708769655360477e-01
2.600000000000000000e+02,5.587247509503312504e-01,5.638067944511505614e-01
2.650000000000000000e+02,5.486487898340830505e-01,5.536674481828737227e-01
2.700000000000000000e+02,5.386973127401643024e-01,5.436526503508861685e-01
2.750000000000000000e+02,5.288700877965117897e-01,5.337621823212307381e-01
2.800000000000000000e+02,5.191668524193324696e-01,5.239957947008417882e-01
2.850000000000000000e+02,5.095873138826457760e-01,5.143532075666716885e-01
2.900000000000000000e+02,5.001311498938997291e-01,5.048341110334904069e-01
2.950000000000000000e+02,4.907980091752824903e-01,4.954381658274060740e-01
3.000000000000000000e+02,4.815875120503428919e-01,4.861650036045378487e-01
3.050000000000000000e+02,4.724992510355455200e-01,4.770142288128403907e-01
3.100000000000000000e+02,4.635327914363778778e-01,4.679854169272500974e-01
3.150000000000000000e+02,4.546876719476352080e-01,4.590781169651622085e-01
3.200000000000000000e+02,4.459634052575061625e-01,4.502918515030644997e-01
3.250000000000000000e+02,4.373594786550873414e-01,4.416261172719654349e-01
3.300000000000000000e+02,4.288753546409559414e-01,4.330803857572630977e-01
3.350000000000000000e+02,4.205104715404323623e-01,4.246541038025782311e-01
3.400000000000000000e+02,4.122642441191687879e-01,4.163466942169284923e-01
3.450000000000000000e+02,4.041360642007020276e-01,4.081575563845755705e-01
3.500000000000000000e+02,3.961253012856124078e-01,4.000860668768899675e-01
3.550000000000000000e+02,3.882313031719351604e-01,3.921315857027637963e-01
3.600000000000000000e+02,3.804533965764738679e-01,3.842934320203662546e-01
3.650000000000000000e+02,3.727908877566706858e-01,3.765709260220553301e-01
3.700000000000000000e+02,3.652430631326916699e-01,3.689633594327560440e-01
3.750000000000000000e+02,3.578091899093918116e-01,3.614700046323899851e-01
3.800000000000000000e+02,3.504885166978263245e-01,3.540901128928520269e-01
3.850000000000000000e+02,3.432802741359850529e-01,3.468229182849137393e-01
3.900000000000000000e+02,3.361836755084264827e-01,3.396676369735862067e-01
