x, current_density, J_max, J_min
0.000000000000000000e+00,1.305238591047337189e+11,1.400186796723694763e+11,2.923518477048280640e+11
5.000000000000000000e+00,1.218332468886387024e+11,1.282266638060143585e+11,2.432933583934868469e+11
1.000000000000000000e+01,1.136020743677207336e+11,1.174277414220270081e+11,2.024671939072000122e+11
1.500000000000000000e+01,1.058130213504082184e+11,1.075382767217536011e+11,1.684919180668975525e+11
2.000000000000000000e+01,9.844917599822270203e+10,9.848167750005957031e+10,1.402179084226076660e+11
2.500000000000000000e+01,9.149402130915493774e+10,9.018780195185916138e+10,1.166884564433803711e+11
3.000000000000000000e+01,8.493142296696975708e+10,8.259241543588500977e+10,9.710739534140209961e+10
3.500000000000000000e+01,7.874561838469342041e+10,7.563669298842689514e+10,8.081216015199342346e+10
4.000000000000000000e+01,7.292120694785490417e+10,6.926676373409350586e+10,6.725136850259112549e+10
4.500000000000000000e+01,6.744314143062737274e+10,6.343329366513751984e+10,5.596616347050759888e+10
5.000000000000000000e+01,6.229672057843818665e+10,5.809110355804088593e+10,4.657468722717367554e+10
5.500000000000000000e+01,5.746758282126618195e+10,5.319881906819025421e+10,3.875916010308897400e+10
6.000000000000000000e+01,5.294170111375383759e+10,4.871855029268597412e+10,3.225512786740505981e+10
6.500000000000000000e+01,4.870537882996913147e+10,4.461559831955334473e+10,2.684251338201044464e+10
7.000000000000000000e+01,4.474524670834944916e+10,4.085818649063064575e+10,2.233816984466276932e+10
7.500000000000000000e+01,4.104826075830000305e+10,3.741721429681063843e+10,1.858968364502785873e+10
8.000000000000000000e+01,3.760170109112780762e+10,3.426603199959697342e+10,1.547021714067522812e+10
8.500000000000000000e+01,3.439317160606047058e+10,3.138023423345780945e+10,1.287421684788347435e+10
9.000000000000000000e+01,3.141060044186314392e+10,2.873747099046247864e+10,1.071384182517637253e+10
9.500000000000000000e+01,2.864224112038965225e+10,2.631727452330979156e+10,8.915991396693733215e+09
1.000000000000000000e+02,2.607667428352444077e+10,2.410090082614134598e+10,7.419831642381752968e+09
1.050000000000000000e+02,2.370280992733572769e+10,2.207118446543642426e+10,6.174736958775531769e+09
1.100000000000000000e+02,2.150989001719358826e+10,2.021240563667822647e+10,5.138577038902958870e+09
1.150000000000000000e+02,1.948749138320749664e+10,1.851016841716851044e+10,4.276291307796353340e+09
1.200000000000000000e+02,1.762552876762379456e+10,1.695128927207949257e+10,3.558702576742664337e+09
1.250000000000000000e+02,1.591425790610544205e+10,1.552369495024143791e+10,2.961529773854685307e+09
1.300000000000000000e+02,1.434427852265913582e+10,1.421632897888648987e+10,2.464566344697368622e+09
1.350000000000000000e+02,1.290653710978880882e+10,1.301906603316658211e+10,2.050996522486080170e+09
1.400000000000000000e+02,1.159232937534566116e+10,1.192263351725192070e+10,1.706826332470483303e+09
1.450000000000000000e+02,1.039330223782268906e+10,1.091853974966930580e+10,1.420410077381987810e+09
1.500000000000000000e+02,9.301455255848339081e+09,9.999008196687974930e+09,1.182056281618326426e+09
1.550000000000000000e+02,8.309141389560445786e+09,9.156917244401794434e+09,9.836997604865504503e+08
1.600000000000000000e+02,7.409066996676845551e+09,8.385745043053039551e+09,8.186287183013732433e+08
1.650000000000000000e+02,6.594290981358604431e+09,7.679518996426465988e+09,6.812576411488422155e+08
1.700000000000000000e+02,5.858223025361990929e+09,7.032769505117654800e+09,5.669382996808384657e+08
1.750000000000000000e+02,5.194620845831664085e+09,6.440487605425304413e+09,4.718024668361498117e+08
1.800000000000000000e+02,4.597586441232089043e+09,5.898086175787872314e+09,3.926310285228374004e+08
1.850000000000000000e+02,4.061561302778522968e+09,5.401364410315139771e+09,3.267450583560395241e+08
1.900000000000000000e+02,3.581320586906729221e+09,4.946475284268260956e+09,2.719151707437758446e+08
1.950000000000000000e+02,3.151966261743787766e+09,4.529895759514071465e+09,2.262860850983400047e+08
2.000000000000000000e+02,2.768919257884923458e+09,4.148399499199986458e+09,1.883138486501869261e+08
2.050000000000000000e+02,2.427910670494024277e+09,3.799031880329351902e+09,1.567135936707477570e+08
2.100000000000000000e+02,2.124972075252238989e+09,3.479087110713922977e+09,1.304160613637156188e+08
2.150000000000000000e+02,1.856425034646985531e+09,3.186087273078217506e+09,1.085314213223816007e+08
2.200000000000000000e+02,1.618869883495674849e+09,2.917763134015903950e+09,9.031916231088910997e+07
2.250000000000000000e+02,1.409173892499584913e+09,2.672036569166920185e+09,7.516303556284913421e+07
2.300000000000000000e+02,1.224458916544977665e+09,2.447004468501316547e+09,6.255020275294347852e+07
2.350000000000000000e+02,1.062088639785980940e+09,2.240923997059023380e+09,5.205388307079210877e+07
2.400000000000000000e+02,9.196555323831697702e+08,2.052199096992489815e+09,4.331891222559129447e+07
2.450000000000000000e+02,7.949676341328659058e+08,1.879368126372857094e+09,3.604972474111963809e+07
2.500000000000000000e+02,6.860352782290831804e+08,1.721092539024321318e+09,3.000035289765995741e+07
2.550000000000000000e+02,5.910578641673262119e+08,1.576146517713956118e+09,2.496610391472797468e+07
2.600000000000000000e+02,5.084107826251121759e+08,1.443407480407843590e+09,2.077663375518538430e+07
