x, screening_profile, B_max, B_min
0.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+02
5.000000000000000000e+00,9.283015324152520975e+01,9.240631939790262095e+01,8.321936745175869987e+01
1.000000000000000000e+01,8.610237935499006312e+01,8.538927864667192580e+01,6.925463119070833784e+01
1.500000000000000000e+01,7.979427421640843932e+01,7.890508955780872213e+01,5.763326600795585364e+01
2.000000000000000000e+01,7.388430858983733174e+01,7.291328907798983039e+01,4.796203941361032719e+01
2.500000000000000000e+01,6.835180189257074801e+01,6.737648678892333010e+01,3.991370581696970277e+01
3.000000000000000000e+01,6.317689824554508959e+01,6.226013158125815039e+01,3.321593350743800244e+01
3.500000000000000000e+01,5.834054315129131396e+01,5.753229604653184026e+01,2.764208975808666935e+01
4.000000000000000000e+01,5.382446076480277242e+01,5.316347724170511668e+01,2.300357224712710291e+01
4.500000000000000000e+01,4.961113172415472405e+01,4.912641258300129721e+01,1.914342731536748232e+01
5.000000000000000000e+01,4.568377150929081409e+01,4.539590972017959558e+01,1.593103912043601333e+01
5.500000000000000000e+01,4.202630929825554063e+01,4.194868932961267660e+01,1.325770998451906912e+01
6.000000000000000000e+01,3.862336729129737734e+01,3.876323984515578047e+01,1.103298238770542206e+01
6.500000000000000000e+01,3.546024047569338933e+01,3.581968322028970420e+01,9.181578154112399304e+00
7.000000000000000000e+01,3.252287680468505471e+01,3.309965088385782650e+01,7.640851261941199013e+00
7.500000000000000000e+01,2.979785776569450917e+01,3.058616911532836724e+01,6.358668088117186201e+00
8.000000000000000000e+01,2.727237931509537816e+01,2.826355312429297229e+01,5.291643361287961866e+00
8.500000000000000000e+01,2.493423315725023670e+01,2.611730917323005130e+01,4.403672133066823591e+00
9.000000000000000000e+01,2.277178834829004472e+01,2.413404413275267757e+01,3.664708093787579557e+00
9.500000000000000000e+01,2.077397320640169553e+01,2.230138190494221462e+01,3.049746894603426739e+00
1.000000000000000000e+02,1.893025751215367336e+01,2.060788619322696391e+01,2.537980074568626510e+00
1.050000000000000000e+02,1.723063498379585212e+01,1.904298913686958272e+01,2.112090964107684155e+00
1.100000000000000000e+02,1.566560601492445493e+01,1.759692536472360302e+01,1.757668740336166158e+00
1.150000000000000000e+02,1.422616066319233319e+01,1.626067105673703495e+01,1.462720807605052187e+00
1.200000000000000000e+02,1.290376188080546527e+01,1.502588763293072915e+01,1.217267003674180614e+00
1.250000000000000000e+02,1.169032897921611713e+01,1.388486971845591889e+01,1.013001900656630205e+00
1.300000000000000000e+02,1.057822132238263002e+01,1.283049706001903800e+01,8.430137740007405123e-01
1.350000000000000000e+02,9.560222244502368127e+00,1.185619009361969489e+01,7.015507302546146740e-01
1.400000000000000000e+02,8.629523190197083693e+00,1.095586888633270384e+01,5.838260800710840526e-01
1.450000000000000000e+02,7.779708076464331157e+00,1.012391519592003775e+01,4.858563708535543202e-01
1.500000000000000000e+02,7.004737877658795853e+00,9.355137411514666823e+00,4.043265985483987524e-01
1.550000000000000000e+02,6.298935436103267449e+00,8.644738156596922352e+00,3.364780377511891740e-01
1.600000000000000000e+02,5.656970502514380605e+00,7.988284352097309693e+00,2.800148946306296738e-01
1.650000000000000000e+02,5.073845011758924883e+00,7.381679552811718281e+00,2.330266240823185842e-01
1.700000000000000000e+02,4.544878600706870664e+00,6.821138384500864404e+00,1.939232825554930706e-01
1.750000000000000000e+02,4.065694376073325955e+00,6.303162922154803560e+00,1.613817290843680141e-01
1.800000000000000000e+02,3.632204941145086963e+00,5.824520862016538736e+00,1.343008541267219358e-01
1.850000000000000000e+02,3.240598691084454419e+00,5.382225351152475135e+00,1.117643212865671448e-01
1.900000000000000000e+02,2.887326387204866673e+00,4.973516348700841583e+00,9.300956121143245936e-02
1.950000000000000000e+02,2.569088021106856523e+00,4.595843402487402862e+00,7.740196850981044541e-02
2.000000000000000000e+02,2.282819979887540374e+00,4.246849733529944437e+00,6.441342858907370128e-02
2.050000000000000000e+02,2.025682523797734724e+00,3.924357529114656185e+00,5.360444782581742090e-02
2.100000000000000000e+02,1.795047587684166501e+00,3.626354352669329373e+00,4.460928240665326672e-02
2.150000000000000000e+02,1.588486917348017835e+00,3.350980585627363784e+00,3.712356264358552399e-02
2.200000000000000000e+02,1.403760551568175252e+00,3.096517822916529550e+00,3.089399400754925390e-02
2.250000000000000000e+02,1.238805659973545303e+00,2.861378149657228143e+00,2.570978639366671911e-02
2.300000000000000000e+02,1.091725746232610428e+00,2.644094232154055035e+00,2.139552161000776373e-02
2.350000000000000000e+02,9.607802251490993317e-01,2.443310161345796594e+00,1.780521774685279654e-02
2.400000000000000000e+02,8.443743812390422931e-01,2.257772991574606536e+00,1.481738958233917713e-02
2.450000000000000000e+02,7.410497152203541216e-01,2.086324921874011196e+00,1.233093788328545187e-02
2.500000000000000000e+02,6.494746835928538742e-01,1.927896070984941757e+00,1.026172850733945117e-02
2.550000000000000000e+02,5.684358351429664724e-01,1.781497801013959714e+00,8.539745553424689384e-03
2.600000000000000000e+02,4.968293467903112659e-01,1.646216548071571806e+00,7.106722231549715378e-03
2.650000000000000000e+02,4.336529597249923484e-01,1.521208121392144230e+00,5.914169287649180887e-03
2.700000000000000000e+02,3.779983152859944795e-01,1.405692435360458070e+00,4.921734271207831024e-03
2.750000000000000000e+02,3.290436885224945485e-01,1.298948641571341156e+00,4.095836128155581901e-03
2.800000000000000000e+02,2.860471158838469585e-01,1.200310630545130097e+00,3.408528917711679297e-03
2.850000000000000000e+02,2.483399120196527476e-01,1.109162875028512074e+00,2.836556204729935755e-03
2.900000000000000000e+02,2.153205692586324660e-01,1.024936588941806725e+00,2.360564130989865547e-03
2.950000000000000000e+02,1.864490319916773942e-01,9.471061780035335831e-01,1.964446538102870322e-03
3.000000000000000000e+02,1.612413369270165597e-01,8.751859598832135712e-01,1.634799982937180365e-03
3.050000000000000000e+02,1.392646090278565896e-01,8.087271334152825730e-01,1.360470204901780347e-03
3.100000000000000000e+02,1.201324018974923996e-01,7.473149779612274779e-01,1.132174698888906714e-03
3.150000000000000000e+02,1.035003704531471252e-01,6.905662654432176417e-01,9.421886228642016754e-04
3.200000000000000000e+02,8.906226293509716951e-02,6.381268688996274419e-01,7.840834121500262193e-04
3.250000000000000000e+02,7.654621863655140801e-02,5.896695526392251585e-01,6.525092558854177910e-04
3.300000000000000000e+02,6.571135721446269562e-02,5.448919302039860746e-01,5.430140753120221101e-04
3.350000000000000000e+02,5.634464505183420235e-02,5.035145773976916761e-01,4.518928786486812814e-04
3.400000000000000000e+02,4.825802388558112638e-02,4.652792886051107524e-01,3.760623951709760526e-04
3.450000000000000000e+02,4.128578678612632863e-02,4.299474655207274898e-01,3.129567464852193179e-04
3.500000000000000000e+02,3.528218656927199770e-02,3.972986282322708007e-01,2.604406248226035620e-04
3.550000000000000000e+02,3.011926182950226336e-02,3.671290393677979491e-01,2.167370405647786906e-04
3.600000000000000000e+02,2.568486599751123103e-02,3.392504327206588566e-01,1.803671941916704373e-04
3.650000000000000000e+02,2.188088513311959443e-02,3.134888384186187982e-01,1.501004380967933696e-04
3.700000000000000000e+02,1.862163055687079266e-02,2.896834973058838858e-01,1.249126351264700249e-04
3.750000000000000000e+02,1.583239288807238021e-02,2.676858577634895209e-01,1.039515048195716783e-04
3.800000000000000000e+02,1.344814458230211840e-02,2.473586487079455221e-01,8.650778476743199090e-05
3.850000000000000000e+02,1.141237863595883500e-02,2.285750229833999059e-01,7.199123127998575912e-05
3.900000000000000000e+02,9.676071738153380064e-03,2.112177658018699333e-01,5.991064729193688876e-05
3.950000000000000000e+02,8.196760790457193607e-03,1.951785632919899038e-01,4.985726171260406955e-05
4.000000000000000000e+02,6.937722372781254115e-03,1.803573265918335944e-01,4.149089782599697676e-05
4.050000000000000000e+02,5.867245399764842856e-03,1.666615672679681581e-01,3.452846272085017388e-05
4.100000000000000000e+02,4.957987878216432373e-03,1.540058201631888946e-01,2.873436826710782125e-05
4.150000000000000000e+02,4.186409335018745695e-03,1.423111100713558841e-01,2.391255951314600006e-05
4.200000000000000000e+02,3.532271130111138031e-03,1.315044589112379092e-01,1.989988076836544766e-05
4.250000000000000000e+02,2.978197495297364890e-03,1.215184303240020580e-01,1.656055489908789859e-05
4.300000000000000000e+02,2.509290742252309921e-03,1.122907088525151170e-01,1.378158903352218293e-05
4.350000000000000000e+02,2.112794658689710718e-03,1.037637110764240561e-01,1.146895121849810416e-05
4.400000000000000000e+02,1.777800657534306904e-03,9.588422627639721363e-02,9.544388657384891223e-06
4.450000000000000000e+02,1.494991758235498245e-03,8.860308438517530694e-02,7.942779867813124018e-06
4.500000000000000000e+02,1.256419960897761255e-03,8.187484915335822844e-02,6.609931164079704096e-06
4.550000000000000000e+02,1.055313022148810127e-03,7.565753461520319245e-02,5.500742903743808434e-06
4.600000000000000000e+02,8.859070566304618356e-04,6.991234308510342610e-02,4.577683449643092630e-06
4.650000000000000000e+02,7.433017701547472988e-04,6.460342304977811922e-02,3.809519210736834095e-06
4.700000000000000000e+02,6.233354807789968357e-04,5.969764544535622469e-02,3.170257790128418180e-06
4.750000000000000000e+02,5.224774034875736802e-04,5.516439692326330357e-02,2.638268479534977024e-06
4.800000000000000000e+02,4.377349642329051165e-04,5.097538881483747869e-02,2.195550340348135258e-06
4.850000000000000000e+02,3.665741713686870265e-04,4.710448060256145625e-02,1.827123105322656349e-06
4.900000000000000000e+02,3.068513087072656628e-04,4.352751679632600040e-02,1.520520290814442725e-06
4.950000000000000000e+02,2.567544263253349404e-04,4.022217619678872258e-02,1.265367367991422934e-06
5.000000000000000000e+02,2.147532946297076029e-04,3.716783260519175569e-02,1.053030719583431703e-06
5.050000000000000000e+02,1.795566558738581945e-04,3.434542611043126664e-02,8.763255039100328808e-07
5.100000000000000000e+02,1.500757570466990944e-04,3.173734415017574056e-02,7.292725411723674700e-07
5.150000000000000000e+02,1.253932805402141980e-04,2.932731160382298988e-02,6.068959957630095474e-07
5.200000000000000000e+02,1.047369058693974872e-04,2.710028923144681273e-02,5.050550087640296421e-07
5.250000000000000000e+02,8.745683850588040892e-05,2.504237982496613710e-02,4.203035835768490236e-07
5.300000000000000000e+02,7.300673203881649881e-05,2.314074148589416458e-02,3.497739836297282696e-07
5.350000000000000000e+02,6.092750873489369723e-05,2.138350748849830729e-02,2.910796966874772903e-07
5.400000000000000000e+02,5.083365237232906260e-05,1.975971222829615848e-02,2.422346823638168068e-07
5.450000000000000000e+02,4.240160710691579513e-05,1.825922279378578914e-02,2.015861704119448097e-07
5.500000000000000000e+02,3.535996812639154526e-05,1.687267573440032545e-02,1.677587358870450947e-07
5.550000000000000000e+02,2.948119490016163044e-05,1.559141863010236537e-02,1.396077588502651827e-07
5.600000000000000000e+02,2.457461677986378401e-05,1.440745609799647629e-02,1.161806938287675267e-07
5.650000000000000000e+02,2.048053431050412266e-05,1.331339989902723814e-02,9.668483850536493960e-08
5.700000000000000000e+02,1.706524854891142273e-05,1.230242283341514802e-02,8.046051102591896460e-08
5.750000000000000000e+02,1.421687555807135983e-05,1.136821613712609563e-02,6.695872832422244435e-08
5.800000000000000000e+02,1.184182458576875651e-05,1.050495011351666036e-02,5.572263016515939082e-08
5.850000000000000000e+02,9.861836714500713522e-06,9.707237754486532783e-03,4.637202035092859523e-08
5.900000000000000000e+02,8.211496400724439891e-06,8.970101124124609318e-03,3.859050201064352287e-08
5.950000000000000000e+02,6.836141668017048686e-06,8.288940295073449899e-03,3.211477166971580776e-08
6.000000000000000000e+02,5.690074038937418993e-06,7.659504643767018998e-03,2.672570984211404870e-08
6.050000000000000000e+02,4.735429828329669251e-06,7.077866325416530893e-03,2.224096667759976512e-08
6.100000000000000000e+02,3.940794751089892796e-06,6.540395763221002086e-03,1.850879178425491844e-08
6.150000000000000000e+02,3.279504465953892191e-06,6.043738998848885435e-03,1.540289944582004880e-08
6.200000000000000000e+02,2.729182873388111426e-06,5.584796762851900083e-03,1.281819548804186561e-08
6.250000000000000000e+02,2.271208724891695986e-06,5.160705134404649543e-03,1.066722120387833047e-08
6.300000000000000000e+02,1.890085535243407261e-06,4.768817669681926080e-03,8.877194010547409420e-09
6.350000000000000000e+02,1.572917227458900565e-06,4.406688887349894702e-03,7.387544703042975126e-09
6.400000000000000000e+02,1.308971767840732139e-06,4.072059008116422733e-03,6.147867972088278298e-09
6.450000000000000000e+02,1.089318025827026610e-06,3.762839853111130811e-03,5.116216838141119945e-09
6.500000000000000000e+02,9.065235710544627136e-07,3.477101813097439442e-03,4.257683290161416127e-09
6.550000000000000000e+02,7.544031819855218055e-07,3.213061807201080845e-03,3.543217102171551352e-09
6.600000000000000000e+02,6.278095563788146132e-07,2.969072156014256319e-03,2.948642859869703943e-09
6.650000000000000000e+02,5.224591418662492548e-07,2.743610299640725485e-03,2.453841936395010649e-09
6.700000000000000000e+02,4.347871932609985115e-07,2.535269296519760719e-03,2.042071737733918092e-09
6.750000000000000000e+02,3.618271521659637150e-07,2.342749043739011418e-03,1.699399183053300256e-09
6.800000000000000000e+02,3.011102674468684210e-07,2.164848164048778934e-03,1.414229250617313264e-09
6.850000000000000000e+02,2.505820600248851061e-07,2.000456508950544752e-03,1.176912636681473181e-09
6.900000000000000000e+02,2.085328054054347680e-07,1.848548231076971565e-03,9.794192517061384753e-10
6.950000000000000000e+02,1.735396816783424564e-07,1.708175382633267229e-03,8.150665059705951206e-10
7.000000000000000000e+02,1.444186254495012282e-07,1.578461999952441349e-03,6.782931905798814080e-10
7.050000000000000000e+02,1.201842666517175504e-07,1.458598637250573459e-03,5.644713026689303168e-10
7.100000000000000000e+02,1.000165865477154541e-07,1.347837315471221578e-03,4.697494475277852303e-10
7.150000000000000000e+02,8.323317073112462409e-08,1.245486854698452713e-03,3.909225188407545417e-10
7.200000000000000000e+02,6.926611824941892064e-08,1.150908561011542743e-03,3.253232474057575144e-10
