x, ell
0.000000000000000000e+00,1.660618698943630989e+01
4.000000000000000000e+00,1.660628785370023053e+01
8.000000000000000000e+00,1.660648954983328807e+01
1.200000000000000000e+01,1.660679208148292929e+01
1.600000000000000000e+01,1.660719545412327847e+01
2.000000000000000000e+01,1.660769967505535050e+01
2.400000000000000000e+01,1.660830475340720369e+01
2.800000000000000000e+01,1.660901070013424530e+01
3.200000000000000000e+01,1.660981752801959743e+01
3.600000000000000000e+01,1.661072525167440261e+01
4.000000000000000000e+01,1.661173388753835667e+01
4.400000000000000000e+01,1.661284345388012085e+01
4.800000000000000000e+01,1.661405397079794000e+01
5.200000000000000000e+01,1.661536546022018257e+01
5.600000000000000000e+01,1.661677794590606183e+01
6.000000000000000000e+01,1.661829145344631087e+01
6.400000000000000000e+01,1.661990601026397840e+01
6.800000000000000000e+01,1.662162164561522104e+01
7.200000000000000000e+01,1.662343839059023409e+01
7.600000000000000000e+01,1.662535627811414685e+01
8.000000000000000000e+01,1.662737534294801378e+01
8.400000000000000000e+01,1.662949562168989814e+01
8.800000000000000000e+01,1.663171715277593421e+01
9.200000000000000000e+01,1.663403997648150678e+01
9.600000000000000000e+01,1.663646413492245202e+01
1.000000000000000000e+02,1.663898967205633994e+01
1.040000000000000000e+02,1.664161663368379251e+01
1.080000000000000000e+02,1.664434506744985143e+01
1.120000000000000000e+02,1.664717502284544182e+01
1.160000000000000000e+02,1.665010655120882532e+01
1.200000000000000000e+02,1.665313970572716684e+01
1.240000000000000000e+02,1.665627454143816166e+01
1.280000000000000000e+02,1.665951111523163775e+01
1.320000000000000000e+02,1.666284948585132497e+01
1.360000000000000000e+02,1.666628971389659597e+01
1.400000000000000000e+02,1.666983186182430643e+01
1.440000000000000000e+02,1.667347599395064250e+01
1.480000000000000000e+02,1.667722217645313521e+01
1.520000000000000000e+02,1.668107047737257886e+01
1.560000000000000000e+02,1.668502096661512013e+01
1.600000000000000000e+02,1.668907371595437183e+01
1.640000000000000000e+02,1.669322879903356238e+01
1.680000000000000000e+02,1.669748629136775975e+01
1.720000000000000000e+02,1.670184627034616298e+01
1.760000000000000000e+02,1.670630881523442213e+01
1.800000000000000000e+02,1.671087400717703986e+01
1.840000000000000000e+02,1.671554192919982640e+01
1.880000000000000000e+02,1.672031266621239709e+01
1.920000000000000000e+02,1.672518630501073389e+01
1.960000000000000000e+02,1.673016293427982149e+01
2.000000000000000000e+02,1.673524264459632604e+01
2.040000000000000000e+02,1.674042552843130949e+01
2.080000000000000000e+02,1.674571168015306100e+01
2.120000000000000000e+02,1.675110119602990721e+01
2.160000000000000000e+02,1.675659417423315745e+01
2.200000000000000000e+02,1.676219071484006307e+01
