x, screening_profile, B_max, B_min
0.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+02
4.000000000000000000e+00,9.372956967779205684e+01,9.372818607096576216e+01,8.633353589349992774e+01
8.000000000000000000e+00,8.785243786124962639e+01,8.784972864153579053e+01,7.453479419874238943e+01
1.200000000000000000e+01,8.234390997887224728e+01,8.233995712397715749e+01,6.434852330271755250e+01
1.600000000000000000e+01,7.718084546604956131e+01,7.717574822391472367e+01,5.555435546248882162e+01
2.000000000000000000e+01,7.234155891029323016e+01,7.233542889697085343e+01,4.796203941361032719e+01
2.400000000000000000e+01,6.780572835862248837e+01,6.779868539178397668e+01,4.140732451240383938e+01
2.800000000000000000e+01,6.355430939586077699e+01,6.354647799767996474e+01,3.574840737045416716e+01
3.200000000000000000e+01,5.956945464951599689e+01,5.956096113921077517e+01,3.086286410852562412e+01
3.600000000000000000e+01,5.583443838034349938e+01,5.582540848221508867e+01,2.664500186289606631e+01
4.000000000000000000e+01,5.233358583693684807e+01,5.232414273708725716e+01,2.300357224712710291e+01
4.400000000000000000e+01,4.905220707265953450e+01,4.904246986465486202e+01,1.985979730276065780e+01
4.800000000000000000e+01,4.597653494223916937e+01,4.596661740854101907e+01,1.714566523275520282e+01
5.200000000000000000e+01,4.309366701280612943e+01,4.308367669520625753e+01,1.480245904790005085e+01
5.600000000000000000e+01,4.039151114182947566e+01,4.038154865909623226e+01,1.277948629523941726e+01
6.000000000000000000e+01,3.785873448940583330e+01,3.784889306553529309e+01,1.103298238770542206e+01
6.400000000000000000e+01,3.548471574750649182e+01,3.547508091826577470e+01,9.525163809813189886e+00
6.800000000000000000e+01,3.325950038256056729e+01,3.325014985189780958e+01,8.223410716659733666e+00
7.200000000000000000e+01,3.117375870076774902e+01,3.116476232206172270e+01,7.099561242737349787e+00
7.600000000000000000e+01,2.921874655728790415e+01,2.921016641779624123e+01,6.129302253779657761e+00
8.000000000000000000e+01,2.738626854237936570e+01,2.737815913171080950e+01,5.291643361287961866e+00
8.400000000000000000e+01,2.566864348761022541e+01,2.566105193377501337e+01,4.568462820673548030e+00
8.800000000000000000e+01,2.405867214557488154e+01,2.405163850425580208e+01,3.944115489067396396e+00
9.200000000000000000e+01,2.254960690568473680e+01,2.254316449038492465e+01,3.405094361435090367e+00
9.600000000000000000e+01,2.113512341750394441e+01,2.112929915983185936e+01,2.939738362737104982e+00
1.000000000000000000e+02,1.980929400097129900e+01,1.980410883201820482e+01,2.537980074568626510e+00
1.040000000000000000e+02,1.856656273071361696e+01,1.856203197577058717e+01,2.191127938647580820e+00
1.080000000000000000e+02,1.740172208876211002e+01,1.739785586880242008e+01,1.891678225384814116e+00
1.120000000000000000e+02,1.630989108662522824e+01,1.630669472106956874e+01,1.633152699702120403e+00
1.160000000000000000e+02,1.528649476403798602e+01,1.528396917018843304e+01,1.409958472192993195e+00
1.200000000000000000e+02,1.432724497744790071e+01,1.432538706286325336e+01,1.217267003674180614e+00
1.240000000000000000e+02,1.342812239695483711e+01,1.342692544166652979e+01,1.050909645536780568e+00
1.280000000000000000e+02,1.258535963542320424e+01,1.258481366157504233e+01,9.072874560377490738e-01
1.320000000000000000e+02,1.179542543843333569e+01,1.179551756540537610e+01,7.832933415155723944e-01
1.360000000000000000e+02,1.105500986816547915e+01,1.105572465173660035e+01,6.762448381487415894e-01
1.400000000000000000e+02,1.036101041855700444e+01,1.036233017307331217e+01,5.838260800710840526e-01
1.440000000000000000e+02,9.710519003090691825e+00,9.712424105905981264e+00,5.040376983937829847e-01
1.480000000000000000e+02,9.100809760214236377e+00,9.103278937984889296e+00,4.351535672595674420e-01
1.520000000000000000e+02,8.529327624895927329e+00,8.532338221553512625e+00,3.756834611818838932e-01
1.560000000000000000e+02,7.993677618072342561e+00,7.997205844501806382e+00,3.243408158054045809e-01
1.600000000000000000e+02,7.491614808786117408e+00,7.495635974412799385e+00,2.800148946306296738e-01
1.640000000000000000e+02,7.021034906667517284e+00,7.025523633299878057e+00,2.417467595630805877e-01
1.680000000000000000e+02,6.579965445095842469e+00,6.584895863478982925e+00,2.087085254387651412e-01
1.720000000000000000e+02,6.166557517865825844e+00,6.171903447500909579e+00,1.801854497224706919e-01
1.760000000000000000e+02,5.779078034543984721e+00,5.784813147394001653e+00,1.555604699110134381e-01
1.800000000000000000e+02,5.415902461883693952e+00,5.422000430647138991e+00,1.343008541267219358e-01
1.840000000000000000e+02,5.075508020736157810e+00,5.081942652405516903e+00,1.159466761027704435e-01
1.880000000000000000e+02,4.756467309815675115e+00,4.763212665266413737e+00,1.001008652305054036e-01
1.920000000000000000e+02,4.457442329483682464e+00,4.464472829856712899e+00,8.642061641348235124e-02
1.960000000000000000e+02,4.177178880409634587e+00,4.184469401055809890e+00,7.460997389071773178e-02
2.000000000000000000e+02,3.914501313553430339e+00,3.922027266304215054e+00,6.441342858907370128e-02
2.040000000000000000e+02,3.668307609389397150e+00,3.676045013915627102e+00,5.561039049118188249e-02
2.080000000000000000e+02,3.437564765692680879e+00,3.445490310695297431e+00,4.801041643521997138e-02
2.120000000000000000e+02,3.221304474504951276e+00,3.229395569465585147e+00,4.144909010571941332e-02
2.160000000000000000e+02,3.018619070118134573e+00,3.026853888316227703e+00,3.578446508395038972e-02
2.200000000000000000e+02,2.828657731059089020e+00,2.837015244537295366e+00,3.089399400754925390e-02
2.240000000000000000e+02,2.650622920128367976e+00,2.659082927261581020e+00,2.667187740544324503e-02
2.280000000000000000e+02,2.483767047550307971e+00,2.492310193845017174e+00,2.302677485329863993e-02
2.320000000000000000e+02,2.327389343229854468e+00,2.335997135952704529e+00,1.987982893308799098e-02
2.360000000000000000e+02,2.180832924995346200e+00,2.189487742198182652e+00,1.716295924751390020e-02
2.400000000000000000e+02,2.043482050528851346e+00,2.052167145008499283e+00,1.481738958233917713e-02
2.440000000000000000e+02,1.914759541460935077e+00,1.923459040160792055e+00,1.279237635354850758e-02
2.480000000000000000e+02,1.794124368829860483e+00,1.802823268160718806e+00,1.104411083082241715e-02
2.520000000000000000e+02,1.681069389784404455e+00,1.689753547312344839e+00,9.534771388245983151e-03
2.560000000000000000e+02,1.575119226045866627e+00,1.583775348965658303e+00,8.231705278834506451e-03
2.600000000000000000e+02,1.475828275240157250e+00,1.484443906024619508e+00,7.106722231549715378e-03
