x, o_total, cc
0.000000000000000000e+00,1.019210610095045433e-01,9.247356924901299624e-02
4.000000000000000000e+00,1.019210537476115397e-01,9.247355950763135046e-02
8.000000000000000000e+00,1.019210392238371482e-01,9.247353028349253323e-02
1.200000000000000000e+01,1.019210174382042117e-01,9.247348157661508528e-02
1.600000000000000000e+01,1.019209883907472025e-01,9.247341338702969038e-02
2.000000000000000000e+01,1.019209520815118203e-01,9.247332571477953622e-02
2.400000000000000000e+01,1.019209085105552831e-01,9.247321855992002293e-02
2.800000000000000000e+01,1.019208576779467579e-01,9.247309192251884635e-02
3.200000000000000000e+01,1.019207995837659864e-01,9.247294580265603969e-02
3.600000000000000000e+01,1.019207342281048673e-01,9.247278020042404290e-02
4.000000000000000000e+01,1.019206616110664154e-01,9.247259511592739734e-02
4.400000000000000000e+01,1.019205817327655389e-01,9.247239054928318991e-02
4.800000000000000000e+01,1.019204945933278733e-01,9.247216650062065058e-02
5.200000000000000000e+01,1.019204001928913222e-01,9.247192297008142992e-02
5.600000000000000000e+01,1.019202985316046001e-01,9.247165995781944647e-02
6.000000000000000000e+01,1.019201896096283422e-01,9.247137746400090064e-02
6.400000000000000000e+01,1.019200734271343278e-01,9.247107548880439953e-02
6.800000000000000000e+01,1.019199499843058548e-01,9.247075403242079050e-02
7.200000000000000000e+01,1.019198192813378645e-01,9.247041309505320272e-02
7.600000000000000000e+01,1.019196813184366779e-01,9.247005267691717212e-02
8.000000000000000000e+01,1.019195360958198293e-01,9.246967277824046094e-02
8.400000000000000000e+01,1.019193836137166354e-01,9.246927339926321043e-02
8.800000000000000000e+01,1.019192238723673760e-01,9.246885454023781592e-02
9.200000000000000000e+01,1.019190568720246409e-01,9.246841620142901008e-02
9.600000000000000000e+01,1.019188826129516640e-01,9.246795838311386295e-02
1.000000000000000000e+02,1.019187010954236139e-01,9.246748108558174029e-02
1.040000000000000000e+02,1.019185123197268034e-01,9.246698430913424804e-02
1.080000000000000000e+02,1.019183162861593689e-01,9.246646805408541281e-02
1.120000000000000000e+02,1.019181129950303272e-01,9.246593232076152913e-02
1.160000000000000000e+02,1.019179024466607131e-01,9.246537710950111788e-02
1.200000000000000000e+02,1.019176846413829690e-01,9.246480242065518995e-02
1.240000000000000000e+02,1.019174595795403065e-01,9.246420825458687154e-02
1.280000000000000000e+02,1.019172272614882885e-01,9.246359461167172333e-02
1.320000000000000000e+02,1.019169876875936215e-01,9.246296149229757400e-02
1.360000000000000000e+02,1.019167408582341700e-01,9.246230889686452015e-02
1.400000000000000000e+02,1.019164867737995944e-01,9.246163682578505127e-02
1.440000000000000000e+02,1.019162254346907132e-01,9.246094527948393871e-02
1.480000000000000000e+02,1.019159568413202099e-01,9.246023425839820786e-02
1.520000000000000000e+02,1.019156809941117320e-01,9.245950376297713824e-02
1.560000000000000000e+02,1.019153978935005977e-01,9.245875379368254099e-02
1.600000000000000000e+02,1.019151075399336581e-01,9.245798435098831480e-02
1.640000000000000000e+02,1.019148099338692132e-01,9.245719543538075125e-02
1.680000000000000000e+02,1.019145050757766513e-01,9.245638704735845148e-02
1.720000000000000000e+02,1.019141929661372681e-01,9.245555918743218748e-02
1.760000000000000000e+02,1.019138736054436695e-01,9.245471185612533227e-02
1.800000000000000000e+02,1.019135469941997163e-01,9.245384505397320762e-02
1.840000000000000000e+02,1.019132131329208435e-01,9.245295878152369473e-02
1.880000000000000000e+02,1.019128720221340878e-01,9.245205303933687335e-02
1.920000000000000000e+02,1.019125236623775466e-01,9.245112782798513285e-02
1.960000000000000000e+02,1.019121680542011271e-01,9.245018314805315829e-02
2.000000000000000000e+02,1.019118051981659084e-01,9.244921900013788885e-02
2.040000000000000000e+02,1.019114350948445574e-01,9.244823538484871206e-02
2.080000000000000000e+02,1.019110577448212179e-01,9.244723230280713078e-02
2.120000000000000000e+02,1.019106731486913581e-01,9.244620975464711010e-02
2.160000000000000000e+02,1.019102813070618951e-01,9.244516774101481371e-02
2.200000000000000000e+02,1.019098822205513621e-01,9.244410626256863162e-02
2.240000000000000000e+02,1.019094758897892972e-01,9.244302531997944383e-02
2.280000000000000000e+02,1.019090623154171454e-01,9.244192491393020406e-02
2.320000000000000000e+02,1.019086414980872740e-01,9.244080504511642538e-02
2.360000000000000000e+02,1.019082134384642485e-01,9.243966571424563905e-02
2.400000000000000000e+02,1.019077781372232788e-01,9.243850692203785246e-02
2.440000000000000000e+02,1.019073355950513987e-01,9.243732866922528546e-02
2.480000000000000000e+02,1.019068858126469662e-01,9.243613095655243972e-02
2.520000000000000000e+02,1.019064287907199412e-01,9.243491378477622367e-02
2.560000000000000000e+02,1.019059645299912331e-01,9.243367715466563328e-02
2.600000000000000000e+02,1.019054930311938945e-01,9.243242106700214067e-02
2.640000000000000000e+02,1.019050142950717747e-01,9.243114552257938876e-02
2.680000000000000000e+02,1.019045283223804360e-01,9.242985052220335784e-02
2.720000000000000000e+02,1.019040351138867928e-01,9.242853606669235167e-02
2.760000000000000000e+02,1.019035346703691808e-01,9.242720215687684482e-02
2.800000000000000000e+02,1.019030269926174126e-01,9.242584879359971861e-02
2.840000000000000000e+02,1.019025120814325974e-01,9.242447597771605294e-02
2.880000000000000000e+02,1.019019899376273630e-01,9.242308371009322343e-02
2.920000000000000000e+02,1.019014605620256753e-01,9.242167199161097080e-02
2.960000000000000000e+02,1.019009239554629909e-01,9.242024082316117883e-02
3.000000000000000000e+02,1.019003801187863267e-01,9.241879020564809644e-02
3.040000000000000000e+02,1.018998290528536493e-01,9.241732013998829598e-02
3.080000000000000000e+02,1.018992707585346380e-01,9.241583062711046515e-02
3.120000000000000000e+02,1.018987052367104490e-01,9.241432166795573999e-02
3.160000000000000000e+02,1.018981324882735212e-01,9.241279326347746903e-02
3.200000000000000000e+02,1.018975525141277427e-01,9.241124541464126874e-02
3.240000000000000000e+02,1.018969653151883814e-01,9.240967812242499579e-02
3.280000000000000000e+02,1.018963708923820016e-01,9.240809138781880261e-02
3.320000000000000000e+02,1.018957692466467418e-01,9.240648521182522057e-02
3.360000000000000000e+02,1.018951603789321619e-01,9.240485959545885475e-02
3.400000000000000000e+02,1.018945442901990073e-01,9.240321453974666144e-02
3.440000000000000000e+02,1.018939209814195418e-01,9.240155004572804531e-02
3.480000000000000000e+02,1.018932904535774231e-01,9.239986611445435982e-02
3.520000000000000000e+02,1.018926527076677857e-01,9.239816274698943455e-02
3.560000000000000000e+02,1.018920077446971301e-01,9.239643994440932540e-02
3.600000000000000000e+02,1.018913555656831421e-01,9.239469770780231461e-02
3.640000000000000000e+02,1.018906961716551512e-01,9.239293603826902179e-02
3.680000000000000000e+02,1.018900295636536585e-01,9.239115493692222347e-02
3.720000000000000000e+02,1.018893557427306695e-01,9.238935440488704742e-02
3.760000000000000000e+02,1.018886747099496809e-01,9.238753444330081999e-02
3.800000000000000000e+02,1.018879864663850970e-01,9.238569505331316323e-02
3.840000000000000000e+02,1.018872910131235626e-01,9.238383623608588391e-02
3.880000000000000000e+02,1.018865883512622278e-01,9.238195799279325104e-02
3.920000000000000000e+02,1.018858784819101082e-01,9.238006032462156569e-02
3.960000000000000000e+02,1.018851614061874328e-01,9.237814323276938300e-02
4.000000000000000000e+02,1.018844371252257131e-01,9.237620671844765097e-02
4.040000000000000000e+02,1.018837056401680485e-01,9.237425078287955782e-02
4.080000000000000000e+02,1.018829669521689463e-01,9.237227542730036545e-02
4.120000000000000000e+02,1.018822210623940572e-01,9.237028065295782575e-02
4.160000000000000000e+02,1.018814679720204536e-01,9.236826646111169492e-02
4.200000000000000000e+02,1.018807076822366570e-01,9.236623285303419140e-02
4.240000000000000000e+02,1.018799401942424437e-01,9.236417983000964893e-02
4.280000000000000000e+02,1.018791655092489978e-01,9.236210739333464148e-02
4.320000000000000000e+02,1.018783836284787164e-01,9.236001554431806648e-02
4.360000000000000000e+02,1.018775945531658345e-01,9.235790428428101995e-02
4.400000000000000000e+02,1.018767982845553977e-01,9.235577361455682421e-02
4.440000000000000000e+02,1.018759948239040675e-01,9.235362353649102796e-02
4.480000000000000000e+02,1.018751841724797741e-01,9.235145405144146169e-02
4.520000000000000000e+02,1.018743663315620079e-01,9.234926516077811287e-02
4.560000000000000000e+02,1.018735413024410841e-01,9.234705686588326468e-02
4.600000000000000000e+02,1.018727090864193635e-01,9.234482916815150988e-02
4.640000000000000000e+02,1.018718696848097405e-01,9.234258206898940391e-02
4.680000000000000000e+02,1.018710230989373078e-01,9.234031556981610322e-02
4.720000000000000000e+02,1.018701693301379274e-01,9.233802967206262979e-02
4.760000000000000000e+02,1.018693083797589660e-01,9.233572437717245396e-02
4.800000000000000000e+02,1.018684402491592117e-01,9.233339968660127239e-02
4.840000000000000000e+02,1.018675649397085131e-01,9.233105560181689708e-02
4.880000000000000000e+02,1.018666824527882930e-01,9.232869212429936634e-02
4.920000000000000000e+02,1.018657927897909654e-01,9.232630925554102808e-02
4.960000000000000000e+02,1.018648959521209207e-01,9.232390699704641490e-02
5.000000000000000000e+02,1.018639919411931521e-01,9.232148535033224412e-02
5.040000000000000000e+02,1.018630807584345321e-01,9.231904431692744550e-02
5.080000000000000000e+02,1.018621624052828689e-01,9.231658389837320289e-02
5.120000000000000000e+02,1.018612368831876280e-01,9.231410409622287094e-02
5.160000000000000000e+02,1.018603041936091275e-01,9.231160491204198904e-02
5.200000000000000000e+02,1.018593643380195785e-01,9.230908634740847551e-02
5.240000000000000000e+02,1.018584173179019198e-01,9.230654840391221139e-02
5.280000000000000000e+02,1.018574631347507475e-01,9.230399108315540113e-02
5.320000000000000000e+02,1.018565017900719544e-01,9.230141438675254495e-02
5.360000000000000000e+02,1.018555332853825490e-01,9.229881831633014733e-02
5.400000000000000000e+02,1.018545576222110172e-01,9.229620287352707786e-02
5.440000000000000000e+02,1.018535748020969467e-01,9.229356805999426594e-02
5.480000000000000000e+02,1.018525848265915967e-01,9.229091387739501995e-02
5.520000000000000000e+02,1.018515876972571760e-01,9.228824032740466643e-02
5.560000000000000000e+02,1.018505834156671341e-01,9.228554741171081377e-02
5.600000000000000000e+02,1.018495719834063562e-01,9.228283513201319954e-02
5.640000000000000000e+02,1.018485534020713845e-01,9.228010349002385704e-02
5.680000000000000000e+02,1.018475276732690449e-01,9.227735248746689323e-02
5.720000000000000000e+02,1.018464947986184865e-01,9.227458212607865529e-02
5.760000000000000000e+02,1.018454547797495308e-01,9.227179240760764733e-02
5.800000000000000000e+02,1.018444076183036562e-01,9.226898333381464146e-02
5.840000000000000000e+02,1.018433533159331800e-01,9.226615490647246953e-02
5.880000000000000000e+02,1.018422918743019656e-01,9.226330712736620365e-02
5.920000000000000000e+02,1.018412232950852703e-01,9.226043999829310061e-02
5.960000000000000000e+02,1.018401475799692590e-01,9.225755352106257412e-02
