x, current_density, J_max, J_min
0.000000000000000000e+00,8.371719440593095398e+10,8.641729318442129517e+10,2.923518477048280640e+11
4.000000000000000000e+00,8.047131483510456848e+10,8.274385395399389648e+10,2.523976873735579834e+11
8.000000000000000000e+00,7.734421998021061707e+10,7.922656582807800293e+10,2.179038480230143738e+11
1.200000000000000000e+01,7.433177130145339966e+10,7.585879111215612793e+10,1.881240968462666321e+11
1.600000000000000000e+01,7.142996977140393066e+10,7.263417426782261658e+10,1.624141846750941467e+11
2.000000000000000000e+01,6.863495121475288391e+10,6.954662991884941101e+10,1.402179084226076660e+11
2.400000000000000000e+01,6.594298180690678406e+10,6.659033136709179688e+10,1.210550782971468201e+11
2.800000000000000000e+01,6.335045372762429810e+10,6.375969959656170654e+10,1.045111294725717010e+11
3.200000000000000000e+01,6.085388095788154602e+10,6.104939274491757202e+10,9.022815347590487671e+10
3.600000000000000000e+01,5.844989522223382568e+10,5.845429602250161743e+10,7.789715526716250610e+10
4.000000000000000000e+01,5.613524206878190613e+10,5.596951205990019989e+10,6.725136850259112549e+10
4.400000000000000000e+01,5.390677708060653687e+10,5.359035166581160736e+10,5.806048436505438995e+10
4.800000000000000000e+01,5.176146220752315521e+10,5.131232497777965546e+10,5.012566910924414825e+10
5.200000000000000000e+01,4.969636223517786407e+10,4.913113298909333038e+10,4.327526253228630066e+10
5.600000000000000000e+01,4.770864136074451447e+10,4.704265943586223602e+10,3.736106431131771851e+10
6.000000000000000000e+01,4.579555989285858154e+10,4.504296302895736694e+10,3.225512786740505981e+10
6.400000000000000000e+01,4.395447105350070190e+10,4.312827001615779114e+10,2.784699239490045547e+10
6.800000000000000000e+01,4.218281789184869385e+10,4.129496706046673584e+10,2.404129317451157379e+10
7.200000000000000000e+01,4.047813030271002197e+10,3.953959442115717316e+10,2.075569847207849503e+10
7.600000000000000000e+01,3.883802213954661560e+10,3.785883942467861938e+10,1.791912839033850098e+10
8.000000000000000000e+01,3.726018843146693420e+10,3.624953021310362244e+10,1.547021714067522812e+10
8.400000000000000000e+01,3.574240268345896912e+10,3.470862975831613922e+10,1.335598546794722366e+10
8.800000000000000000e+01,3.428251427497008133e+10,3.323323013064574051e+10,1.153069450790085030e+10
