x, lambda_eff
0.000000000000000000e+00,6.533261109054367921e+01
4.000000000000000000e+00,6.533092775349091141e+01
8.000000000000000000e+00,6.532894213114830961e+01
1.200000000000000000e+01,6.532665438261551571e+01
1.600000000000000000e+01,6.532406467302479314e+01
2.000000000000000000e+01,6.532117317352798125e+01
2.400000000000000000e+01,6.531798006128349243e+01
2.800000000000000000e+01,6.531448551944319547e+01
3.200000000000000000e+01,6.531068973713908576e+01
3.600000000000000000e+01,6.530659290946981343e+01
4.000000000000000000e+01,6.530219523748732513e+01
4.400000000000000000e+01,6.529749692818306528e+01
4.800000000000000000e+01,6.529249819447434788e+01
5.200000000000000000e+01,6.528719925519037304e+01
5.600000000000000000e+01,6.528160033505828608e+01
6.000000000000000000e+01,6.527570166468910884e+01
6.400000000000000000e+01,6.526950348056344353e+01
6.800000000000000000e+01,6.526300602501716241e+01
7.200000000000000000e+01,6.525620954622702641e+01
7.600000000000000000e+01,6.524911429819599107e+01
8.000000000000000000e+01,6.524172054073868310e+01
8.400000000000000000e+01,6.523402853946649316e+01
8.800000000000000000e+01,6.522603856577273973e+01
9.200000000000000000e+01,6.521775089681769089e+01
9.600000000000000000e+01,6.520916581551334446e+01
1.000000000000000000e+02,6.520028361050832189e+01
1.040000000000000000e+02,6.519110457617249210e+01
1.080000000000000000e+02,6.518162901258152431e+01
1.120000000000000000e+02,6.517185722550134130e+01
1.160000000000000000e+02,6.516178952637247335e+01
1.200000000000000000e+02,6.515142623229431251e+01
1.240000000000000000e+02,6.514076766600926760e+01
1.280000000000000000e+02,6.512981415588677692e+01
1.320000000000000000e+02,6.511856603590720738e+01
1.360000000000000000e+02,6.510702364564575362e+01
1.400000000000000000e+02,6.509518733025618076e+01
1.440000000000000000e+02,6.508305744045433983e+01
1.480000000000000000e+02,6.507063433250181106e+01
1.520000000000000000e+02,6.505791836818929141e+01
1.560000000000000000e+02,6.504490991481991102e+01
1.600000000000000000e+02,6.503160934519250702e+01
1.640000000000000000e+02,6.501801703758466999e+01
1.680000000000000000e+02,6.500413337573593253e+01
1.720000000000000000e+02,6.498995874883053148e+01
1.760000000000000000e+02,6.497549355148038330e+01
1.800000000000000000e+02,6.496073818370786057e+01
1.840000000000000000e+02,6.494569305092825573e+01
1.880000000000000000e+02,6.493035856393260019e+01
1.920000000000000000e+02,6.491473513886995761e+01
1.960000000000000000e+02,6.489882319722985926e+01
2.000000000000000000e+02,6.488262316582463995e+01
2.040000000000000000e+02,6.486613547677153235e+01
2.080000000000000000e+02,6.484936056747487498e+01
2.120000000000000000e+02,6.483229888060809287e+01
2.160000000000000000e+02,6.481495086409562134e+01
2.200000000000000000e+02,6.479731697109475874e+01
2.240000000000000000e+02,6.477939765997746235e+01
2.280000000000000000e+02,6.476119339431190269e+01
2.320000000000000000e+02,6.474270464284421678e+01
2.360000000000000000e+02,6.472393187947984927e+01
2.400000000000000000e+02,6.470487558326509259e+01
2.440000000000000000e+02,6.468553623836830013e+01
2.480000000000000000e+02,6.466591433406128431e+01
2.520000000000000000e+02,6.464601036470033080e+01
2.560000000000000000e+02,6.462582482970736919e+01
2.600000000000000000e+02,6.460535823355101570e+01
2.640000000000000000e+02,6.458461108572737430e+01
2.680000000000000000e+02,6.456358390074096576e+01
2.720000000000000000e+02,6.454227719808554298e+01
2.760000000000000000e+02,6.452069150222467897e+01
2.800000000000000000e+02,6.449882734257238326e+01
2.840000000000000000e+02,6.447668525347376089e+01
2.880000000000000000e+02,6.445426577418530201e+01
2.920000000000000000e+02,6.443156944885538451e+01
2.960000000000000000e+02,6.440859682650456364e+01
3.000000000000000000e+02,6.438534846100574782e+01
3.040000000000000000e+02,6.436182491106444559e+01
3.080000000000000000e+02,6.433802674019879930e+01
3.120000000000000000e+02,6.431395451671959052e+01
3.160000000000000000e+02,6.428960881371027369e+01
3.200000000000000000e+02,6.426499020900672576e+01
3.240000000000000000e+02,6.424009928517716617e+01
3.280000000000000000e+02,6.421493662950182113e+01
3.320000000000000000e+02,6.418950283395261636e+01
3.360000000000000000e+02,6.416379849517282707e+01
3.400000000000000000e+02,6.413782421445648652e+01
3.440000000000000000e+02,6.411158059772800755e+01
3.480000000000000000e+02,6.408506825552144903e+01
3.520000000000000000e+02,6.405828780295996694e+01
3.560000000000000000e+02,6.403123985973496701e+01
3.600000000000000000e+02,6.400392505008548483e+01
3.640000000000000000e+02,6.397634400277710398e+01
3.680000000000000000e+02,6.394849735108123667e+01
3.720000000000000000e+02,6.392038573275406321e+01
3.760000000000000000e+02,6.389200979001545733e+01
3.800000000000000000e+02,6.386337016952798962e+01
3.840000000000000000e+02,6.383446752237567523e+01
3.880000000000000000e+02,6.380530250404279968e+01
3.920000000000000000e+02,6.377587577439261679e+01
3.960000000000000000e+02,6.374618799764604660e+01
4.000000000000000000e+02,6.371623984236023830e+01
4.040000000000000000e+02,6.368603198140719002e+01
4.080000000000000000e+02,6.365556509195220514e+01
4.120000000000000000e+02,6.362483985543229892e+01
4.160000000000000000e+02,6.359385695753464063e+01
4.200000000000000000e+02,6.356261708817487488e+01
4.240000000000000000e+02,6.353112094147539324e+01
4.280000000000000000e+02,6.349936921574358450e+01
4.320000000000000000e+02,6.346736261344996421e+01
4.360000000000000000e+02,6.343510184120635387e+01
4.400000000000000000e+02,6.340258760974390384e+01
4.440000000000000000e+02,6.336982063389119446e+01
4.480000000000000000e+02,6.333680163255211681e+01
4.520000000000000000e+02,6.330353132868386723e+01
4.560000000000000000e+02,6.327001044927480677e+01
4.600000000000000000e+02,6.323623972532229942e+01
4.640000000000000000e+02,6.320221989181050759e+01
4.680000000000000000e+02,6.316795168768810242e+01
4.720000000000000000e+02,6.313343585584596696e+01
4.760000000000000000e+02,6.309867314309492770e+01
4.800000000000000000e+02,6.306366430014318780e+01
4.840000000000000000e+02,6.302841008157407288e+01
4.880000000000000000e+02,6.299291124582342860e+01
4.920000000000000000e+02,6.295716855515718180e+01
4.960000000000000000e+02,6.292118277564870965e+01
5.000000000000000000e+02,6.288495467715630127e+01
5.040000000000000000e+02,6.284848503330043457e+01
5.080000000000000000e+02,6.281177462144118806e+01
5.120000000000000000e+02,6.277482422265542539e+01
5.160000000000000000e+02,6.273763462171413607e+01
5.200000000000000000e+02,6.270020660705952054e+01
5.240000000000000000e+02,6.266254097078225271e+01
5.280000000000000000e+02,6.262463850859858638e+01
5.320000000000000000e+02,6.258650001982741884e+01
5.360000000000000000e+02,6.254812630736734036e+01
5.400000000000000000e+02,6.250951817767372631e+01
5.440000000000000000e+02,6.247067644073568005e+01
5.480000000000000000e+02,6.243160191005296156e+01
5.520000000000000000e+02,6.239229540261299434e+01
5.560000000000000000e+02,6.235275773886765194e+01
5.600000000000000000e+02,6.231298974271021507e+01
5.640000000000000000e+02,6.227299224145215106e+01
5.680000000000000000e+02,6.223276606579989334e+01
5.720000000000000000e+02,6.219231204983165640e+01
5.760000000000000000e+02,6.215163103097418684e+01
5.800000000000000000e+02,6.211072384997938656e+01
5.840000000000000000e+02,6.206959135090112767e+01
5.880000000000000000e+02,6.202823438107176912e+01
5.920000000000000000e+02,6.198665379107889351e+01
5.960000000000000000e+02,6.194485043474190178e+01
6.000000000000000000e+02,6.190282516908850852e+01
6.040000000000000000e+02,6.186057885433137926e+01
6.080000000000000000e+02,6.181811235384462577e+01
6.120000000000000000e+02,6.177542653414032969e+01
6.160000000000000000e+02,6.173252226484499516e+01
6.200000000000000000e+02,6.168940041867602986e+01
6.240000000000000000e+02,6.164606187141821891e+01
6.280000000000000000e+02,6.160250750190004254e+01
6.320000000000000000e+02,6.155873819197017127e+01
6.360000000000000000e+02,6.151475482647376936e+01
6.400000000000000000e+02,6.147055829322891896e+01
6.440000000000000000e+02,6.142614948300290223e+01
6.480000000000000000e+02,6.138152928948852605e+01
6.520000000000000000e+02,6.133669860928044670e+01
6.560000000000000000e+02,6.129165834185140938e+01
6.600000000000000000e+02,6.124640938952858704e+01
6.640000000000000000e+02,6.120095265746975599e+01
6.680000000000000000e+02,6.115528905363954237e+01
6.720000000000000000e+02,6.110941948878568297e+01
6.760000000000000000e+02,6.106334487641516517e+01
6.800000000000000000e+02,6.101706613277049485e+01
6.840000000000000000e+02,6.097058417680575815e+01
6.880000000000000000e+02,6.092389993016291072e+01
6.920000000000000000e+02,6.087701431714784661e+01
6.960000000000000000e+02,6.082992826470653114e+01
7.000000000000000000e+02,6.078264270240119060e+01
7.040000000000000000e+02,6.073515856238633148e+01
7.080000000000000000e+02,6.068747677938497986e+01
7.120000000000000000e+02,6.063959829066462959e+01
7.160000000000000000e+02,6.059152403601338222e+01
7.200000000000000000e+02,6.054325495771607990e+01
7.240000000000000000e+02,6.049479200053032457e+01
7.280000000000000000e+02,6.044613611166249711e+01
7.320000000000000000e+02,6.039728824074384761e+01
7.360000000000000000e+02,6.034824933980660688e+01
7.400000000000000000e+02,6.029902036325992043e+01
7.440000000000000000e+02,6.024960226786588890e+01
7.480000000000000000e+02,6.019999601271568679e+01
7.520000000000000000e+02,6.015020255920548209e+01
7.560000000000000000e+02,6.010022287101251237e+01
7.600000000000000000e+02,6.005005791407108973e+01
7.640000000000000000e+02,5.999970865654861996e+01
7.680000000000000000e+02,5.994917606882156491e+01
7.720000000000000000e+02,5.989846112345149010e+01
7.760000000000000000e+02,5.984756479516106964e+01
7.800000000000000000e+02,5.979648806081005574e+01
