x, screening_profile, B_max, B_min
0.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+02
5.000000000000000000e-01,9.914767846671632867e+01,9.900612073542268377e+01,9.817986736090780653e+01
1.000000000000000000e+00,9.830351936474248475e+01,9.802211943077092826e+01,9.639286355005448570e+01
1.500000000000000000e+00,9.746731029951615710e+01,9.704789791104929009e+01,9.463838557882434088e+01
2.000000000000000000e+00,9.663884364067651234e+01,9.608335897700320061e+01,9.291584143379422756e+01
2.500000000000000000e+00,9.581791611684752752e+01,9.512840639542137922e+01,9.122464987697058802e+01
3.000000000000000000e+00,9.500432875734153981e+01,9.418294488953443988e+01,8.956424024966226227e+01
3.500000000000000000e+00,9.419788683419689335e+01,9.324688012950907989e+01,8.793405227992320761e+01
4.000000000000000000e+00,9.339839980472181935e+01,9.232011872303661448e+01,8.633353589349992774e+01
4.500000000000000000e+00,9.260568125470159373e+01,9.140256820601520360e+01,8.476215102821994662e+01
5.000000000000000000e+00,9.181954884241532966e+01,9.049413703332447767e+01,8.321936745175869987e+01
5.500000000000000000e+00,9.103982424359735148e+01,8.959473456969206495e+01,8.170466458272316856e+01
6.000000000000000000e+00,9.026633309746982547e+01,8.870427108065082678e+01,8.021753131499221467e+01
6.500000000000000000e+00,8.949890495396395806e+01,8.782265772358577749e+01,7.875746584525403193e+01
7.000000000000000000e+00,8.873737322223897195e+01,8.694980653887034805e+01,7.732397550368266081e+01
7.500000000000000000e+00,8.798157512060039664e+01,8.608563044109041584e+01,7.591657658769648265e+01
8.000000000000000000e+00,8.723135162791167829e+01,8.523004321035575970e+01,7.453479419874238943e+01
8.500000000000000000e+00,8.648654743658590860e+01,8.438295948369774635e+01,7.317816208205087491e+01
9.000000000000000000e+00,8.574701090723736741e+01,8.354429474655259469e+01,7.184622246930767631e+01
9.500000000000000000e+00,8.501259402506603635e+01,8.271396532432925142e+01,7.053852592418901679e+01
1.000000000000000000e+01,8.428315235804177519e+01,8.189188837406106813e+01,6.925463119070833784e+01
1.050000000000000000e+01,8.355854501694801684e+01,8.107798187614048402e+01,6.799410504432333369e+01
1.100000000000000000e+01,8.283863461733893985e+01,8.027216462613576198e+01,6.675652214575296739e+01
1.150000000000000000e+01,8.212328724345798037e+01,7.947435622668923827e+01,6.554146489745529891e+01
1.200000000000000000e+01,8.141237241415902304e+01,7.868447707949584924e+01,6.434852330271755250e+01
1.250000000000000000e+01,8.070576305086585478e+01,7.790244837736165096e+01,6.317729482731094492e+01
1.300000000000000000e+01,8.000333544759963900e+01,7.712819209634101014e+01,6.202738426366355640e+01
1.350000000000000000e+01,7.930496924309743179e+01,7.636163098795211113e+01,6.089840359750547094e+01
1.400000000000000000e+01,7.861054739503961741e+01,7.560268857146979826e+01,5.978997187694117343e+01
1.450000000000000000e+01,7.791995615639697803e+01,7.485128912629500064e+01,5.870171508390491510e+01
1.500000000000000000e+01,7.723308505390293988e+01,7.410735768439994331e+01,5.763326600795585364e+01
1.550000000000000000e+01,7.654982686864924801e+01,7.337082002284853388e+01,5.658426412237022163e+01
1.600000000000000000e+01,7.587007761879748102e+01,7.264160265639110037e+01,5.555435546248882162e+01
1.650000000000000000e+01,7.519373654439185373e+01,7.191963283013259911e+01,5.454319250627877125e+01
1.700000000000000000e+01,7.452070609425200587e+01,7.120483851227376704e+01,5.355043405706909709e+01
1.750000000000000000e+01,7.385089191491742611e+01,7.049714838692450769e+01,5.257574512842083436e+01
1.800000000000000000e+01,7.318420284160791311e+01,6.979649184698855890e+01,5.161879683109251715e+01
1.850000000000000000e+01,7.252055089115683018e+01,6.910279898711894475e+01,5.067926626206310203e+01
1.900000000000000000e+01,7.185985125686623576e+01,6.841600059674341594e+01,4.975683639557485805e+01
1.950000000000000000e+01,7.120202230522487241e+01,6.773602815315929604e+01,4.885119597615928910e+01
2.000000000000000000e+01,7.054698557442156925e+01,6.706281381469678138e+01,4.796203941361032719e+01
2.050000000000000000e+01,6.989466577457797314e+01,6.639629041395042464e+01,4.708906667986893524e+01
2.100000000000000000e+01,6.924499078961564180e+01,6.573639145107763682e+01,4.623198320778475079e+01
2.150000000000000000e+01,6.859789168066301102e+01,6.508305108716399445e+01,4.539049979172023797e+01
2.200000000000000000e+01,6.795330269089853914e+01,6.443620413765441413e+01,4.456433248996405894e+01
2.250000000000000000e+01,6.731116125171602960e+01,6.379578606584955480e+01,4.375320252892064588e+01
2.300000000000000000e+01,6.667140799008831209e+01,6.316173297646696483e+01,4.295683620904365085e+01
2.350000000000000000e+01,6.603398673699483368e+01,6.253398160926616356e+01,4.217496481248146978e+01
2.400000000000000000e+01,6.539884453676823739e+01,6.191246933273708919e+01,4.140732451240383938e+01
2.450000000000000000e+01,6.476593165720383638e+01,6.129713413785121645e+01,4.065365628397876208e+01
2.500000000000000000e+01,6.413520160026514816e+01,6.068791463187497470e+01,3.991370581696970277e+01
2.550000000000000000e+01,6.350661111320743402e+01,6.008475003224438638e+01,3.918722342992379737e+01
2.600000000000000000e+01,6.288012019992969215e+01,5.948758016050079789e+01,3.847396398592176325e+01
2.650000000000000000e+01,6.225569213235470301e+01,5.889634543628675800e+01,3.777368680986142380e+01
2.700000000000000000e+01,6.163329346162522882e+01,5.831098687140167414e+01,3.708615560724667404e+01
2.750000000000000000e+01,6.101289402889350555e+01,5.773144606391641531e+01,3.641113838445465234e+01
2.800000000000000000e+01,6.039446697547042930e+01,5.715766519234650644e+01,3.574840737045416716e+01
2.850000000000000000e+01,5.977798875209013829e+01,5.658958700988324608e+01,3.509773893994888283e+01
2.900000000000000000e+01,5.916343912703586483e+01,5.602715483868207968e+01,3.445891353791949996e+01
2.950000000000000000e+01,5.855080119286301965e+01,5.547031256420778789e+01,3.383171560553927293e+01
3.000000000000000000e+01,5.794006137144693724e+01,5.491900462963590712e+01,3.321593350743800244e+01
3.050000000000000000e+01,5.733120941707432650e+01,5.437317603030970048e+01,3.261135946028995392e+01
3.100000000000000000e+01,5.672423841729038685e+01,5.383277230825231641e+01,3.201778946270154336e+01
3.150000000000000000e+01,5.611914479120745369e+01,5.329773954673348868e+01,3.143502322637508684e+01
3.200000000000000000e+01,5.551592828497591370e+01,5.276802436489007420e+01,3.086286410852562412e+01
