x, o_total, cc
0.000000000000000000e+00,8.497125595853950442e-01,8.504110118116249284e-01
5.000000000000000000e-01,8.466121803748195562e-01,8.484468025006868253e-01
1.000000000000000000e+00,8.412582831313554221e-01,8.442181344487992289e-01
1.500000000000000000e+00,8.336885481622661187e-01,8.377543065058110638e-01
2.000000000000000000e+00,8.239588462610877295e-01,8.291017219209736444e-01
2.500000000000000000e+00,8.121424733353079795e-01,8.183249781202629469e-01
3.000000000000000000e+00,7.983291529092393368e-01,8.055054662860553494e-01
3.500000000000000000e+00,7.826238254831805463e-01,7.907405617460983027e-01
4.000000000000000000e+00,7.651452475856026503e-01,7.741419596717327156e-01
4.500000000000000000e+00,7.460244266572351179e-01,7.558346453020212685e-01
5.000000000000000000e+00,7.254029205816774351e-01,7.359547658522267444e-01
5.500000000000000000e+00,7.034310326717257977e-01,7.146482261538577019e-01
6.000000000000000000e+00,6.802659341992363107e-01,6.920687326336636414e-01
6.500000000000000000e+00,6.560697471041774254e-01,6.683760293764823279e-01
7.000000000000000000e+00,6.310076193412840206e-01,6.437336746458541814e-01
7.500000000000000000e+00,6.052458244454281822e-01,6.183074162476965840e-01
8.000000000000000000e+00,5.789499153630630612e-01,5.922632291153244743e-01
8.500000000000000000e+00,5.522829604663808123e-01,5.657654991263522115e-01
9.000000000000000000e+00,5.254038870133053152e-01,5.389753134880559404e-01
9.500000000000000000e+00,4.984659542249770814e-01,5.120488720726367182e-01
1.000000000000000000e+01,4.716153747166876853e-01,4.851360356464499146e-01
1.050000000000000000e+01,4.449900993368811619e-01,4.583790275775441181e-01
1.100000000000000000e+01,4.187187766427386548e-01,4.319113032401989960e-01
1.150000000000000000e+01,3.929198943696933788e-01,4.058565972725277082e-01
1.200000000000000000e+01,3.677011064318814748e-01,3.803281544782955992e-01
1.250000000000000000e+01,3.431587453103439045e-01,3.554281461198096626e-01
1.300000000000000000e+01,3.193775162262239564e-01,3.312472697222555440e-01
1.350000000000000000e+01,2.964303663271466438e-01,3.078645272414595180e-01
1.400000000000000000e+01,2.743785192941272100e-01,2.853471735018356381e-01
1.450000000000000000e+01,2.532716633485875279e-01,2.637508242072649223e-01
1.500000000000000000e+01,2.331482786355685288e-01,2.431197106069759861e-01
1.550000000000000000e+01,2.140360883979460782e-01,2.234870660989956292e-01
1.600000000000000000e+01,1.959526172421485746e-01,2.048756286961145034e-01
1.650000000000000000e+01,1.789058391211967580e-01,1.872982423659950157e-01
1.700000000000000000e+01,1.628948974073597122e-01,1.707585397754939616e-01
1.750000000000000000e+01,1.479108795662652520e-01,1.552516888956763930e-01
1.800000000000000000e+01,1.339376294407333134e-01,1.407651862259536313e-01
1.850000000000000000e+01,1.209525809634489218e-01,1.272796800341824686e-01
1.900000000000000000e+01,1.089275981957723849e-01,1.147698079401133914e-01
1.950000000000000000e+01,9.782980788567319230e-02,1.032050343443549345e-01
2.000000000000000000e+01,8.762241220003383346e-02,9.255047457403056677e-02
2.050000000000000000e+01,7.826547086490576177e-02,8.276769412908413504e-02
2.100000000000000000e+01,6.971664359315769832e-02,7.381547302030669333e-02
2.150000000000000000e+01,6.193188534682069618e-02,6.565052684454224241e-02
2.200000000000000000e+01,5.486608862990800806e-02,5.822817790060647036e-02
2.250000000000000000e+01,4.847366860001088573e-02,5.150297127203896236e-02
2.300000000000000000e+01,4.270908829236666482e-02,4.542923235577281393e-02
2.350000000000000000e+01,3.752732264287003683e-02,3.996156377050463088e-02
2.400000000000000000e+01,3.288426125694751678e-02,3.505528091204437868e-02
2.450000000000000000e+01,2.873705098531570412e-02,3.066678661800017330e-02
2.500000000000000000e+01,2.504438032680045972e-02,2.675388644914424019e-02
2.550000000000000000e+01,2.176670847904514650e-02,2.327604698329652222e-02
2.600000000000000000e+01,1.886644250102696360e-02,2.019460024792960051e-02
2.650000000000000000e+01,1.630806654173321685e-02,1.747289799259048315e-02
2.700000000000000000e+01,1.405822743530919620e-02,1.507641992796068461e-02
2.750000000000000000e+01,1.208578117532531360e-02,1.297284034426889054e-02
2.800000000000000000e+01,1.036180487236088542e-02,1.113205767953467928e-02
2.850000000000000000e+01,8.859578784075630709e-03,9.526191651196905252e-03
2.900000000000000000e+01,7.554542900334710459e-03,8.129552507626053998e-03
2.950000000000000000e+01,6.424232383017797372e-03,6.918586813962548411e-03
3.000000000000000000e+01,5.448195915921534224e-03,5.871803974847517038e-03
3.050000000000000000e+01,4.607900729102486562e-03,4.969687429732638773e-03
3.100000000000000000e+01,3.886627737630769970e-03,4.194594148651383143e-03
3.150000000000000000e+01,3.269359889403214599e-03,3.530645720664820145e-03
3.200000000000000000e+01,2.742666461434546763e-03,2.963613975486974975e-03
3.250000000000000000e+01,2.294585688510210678e-03,2.480803721494652392e-03
3.300000000000000000e+01,1.914507760362423386e-03,2.070934829422331567e-03
3.350000000000000000e+01,1.593059890268508404e-03,1.724025548038294123e-03
3.400000000000000000e+01,1.321994844386114795e-03,1.431278612038086031e-03
3.450000000000000000e+01,1.094084031113071480e-03,1.184971397925543369e-03
3.500000000000000000e+01,9.030159859409355155e-04,9.783511041317443768e-04
3.550000000000000000e+01,7.433008512134172590e-04,8.055356792210865112e-04
3.600000000000000000e+01,6.101812424990750786e-04,6.614209978817000343e-04
3.650000000000000000e+01,4.995497137278453363e-04,5.415945887259465252e-04
3.700000000000000000e+01,4.078728809432230333e-04,4.422560502156422206e-04
3.750000000000000000e+01,3.321221380825574486e-04,3.601441501480113334e-04
3.800000000000000000e+01,2.697107958195045247e-04,2.924704884940321952e-04
3.850000000000000000e+01,2.184373941141484440e-04,2.368595110294503001e-04
3.900000000000000000e+01,1.764348784788999467e-04,1.912945899705687652e-04
3.950000000000000000e+01,1.421252867675965926e-04,1.540698354246214678e-04
4.000000000000000000e+01,1.141795652179448549e-04,1.237472655493596075e-04
4.050000000000000000e+01,9.148211727421209970e-05,9.911894157967155393e-05
4.100000000000000000e+01,7.309968425129674920e-05,7.917366409910705485e-05
4.150000000000000000e+01,5.825416118523814551e-05,6.306782702051198027e-05
4.200000000000000000e+01,4.629896243495024724e-05,5.010003376443856299e-05
